"state_county_fips","Unemployed_2014"
12033,"8,948"
12035,"3,228"
12037,"277"
12039,"1,522"
12041,"439"
12043,"381"
12045,"379"
12047,"362"
12049,"800"
12051,"1,782"
12053,"5,279"
12055,"2,984"
12057,"39,964"
12059,"475"
12061,"4,852"
12063,"1,147"
12065,"358"
12067,"177"
12069,"8,857"
12071,"18,617"
12073,"8,339"
12075,"1,131"
12077,"181"
12079,"575"
12081,"9,213"
12083,"9,669"
12085,"4,242"
12086,"89,806"
12087,"1,877"
12089,"2,135"
12091,"4,773"
12093,"1,312"
12095,"39,504"
12097,"10,133"
12099,"40,598"
12101,"14,304"
12103,"27,767"
12105,"19,982"
12107,"2,464"
12109,"5,138"
12111,"10,457"
12113,"4,033"
12115,"10,277"
12117,"13,447"
12119,"2,186"
12121,"1,126"
12123,"662"
12125,"286"
12127,"15,997"
12129,"744"
12131,"1,431"
12133,"663"
13000,"342,365"
13001,"776"
13003,"281"
13005,"338"
13007,"101"
13009,"1,636"
13011,"538"
13013,"2,206"
13015,"3,372"
13017,"579"
13019,"645"
13021,"5,599"
13023,"526"
13025,"641"
13027,"499"
13029,"1,005"
13031,"2,559"
13033,"949"
13035,"773"
13037,"159"
13039,"1,485"
13043,"364"
13045,"4,256"
13047,"1,932"
13049,"376"
13051,"9,594"
13053,"238"
13055,"824"
13057,"6,503"
13059,"3,985"
13061,"101"
13063,"11,697"
13065,"244"
13067,"23,691"
13069,"1,485"
13071,"1,680"
13073,"3,860"
13075,"624"
13077,"4,146"
13079,"425"
13081,"870"
13083,"520"
13085,"661"
13087,"951"
13089,"27,014"
13091,"755"
13093,"454"
13095,"3,630"
13097,"5,033"
13099,"385"
13101,"107"
13103,"1,632"
13105,"711"
13107,"917"
13109,"309"
13111,"757"
13113,"3,346"
13115,"3,441"
13117,"5,171"
13119,"764"
13121,"36,791"
13123,"880"
13125,"107"
13127,"2,828"
13129,"1,937"
13131,"772"
13133,"528"
13135,"27,155"
13137,"1,318"
13139,"5,338"
13141,"312"
13143,"934"
13145,"954"
13147,"801"
13149,"398"
13151,"7,550"
13153,"4,547"
13155,"318"
13157,"1,783"
13159,"433"
13161,"538"
13163,"766"
13165,"338"
13167,"346"
13169,"875"
13171,"743"
13173,"302"
13175,"1,803"
13177,"893"
13179,"2,026"
13181,"286"
13183,"485"
13185,"3,697"
13187,"997"
13189,"886"
13191,"481"
13193,"570"
13195,"831"
13197,"260"
13199,"871"
13201,"169"
13205,"700"
13207,"853"
13209,"401"
13211,"551"
13213,"1,516"
13215,"6,965"
13217,"3,958"
13219,"871"
13221,"432"
13223,"4,660"
13225,"1,119"
13227,"921"
13229,"610"
13231,"582"
13233,"1,436"
13235,"330"
13237,"745"
13239,"77"
13241,"548"
13243,"261"
13245,"7,436"
13247,"3,339"
13249,"166"
13251,"550"
13253,"299"
13255,"2,625"
13257,"856"
13259,"174"
13261,"1,296"
13263,"224"
13265,"66"
13267,"705"
13269,"301"
13271,"524"
13273,"292"
13275,"1,483"
13277,"1,336"
13279,"1,229"
13281,"363"
13283,"299"
13285,"2,699"
13287,"255"
13289,"349"
13291,"613"
13293,"1,036"
13295,"2,114"
13297,"2,665"
13299,"1,205"
13301,"270"
13303,"633"
13305,"1,063"
13307,"86"
13309,"230"
13311,"874"
13313,"3,558"
13315,"270"
13317,"354"
13319,"326"
13321,"709"
15000,"29,153"
15001,"4,846"
15003,"18,890"
15007,"1,684"
15009,"3,732"
16000,"37,404"
16001,"8,620"
16003,"166"
16005,"1,911"
16007,"127"
16009,"321"
16011,"1,002"
16013,"510"
16015,"176"
16017,"1,280"
16019,"2,088"
16021,"293"
16023,"68"
16025,"30"
16027,"5,191"
16029,"163"
16031,"477"
16033,"20"
16035,"293"
16037,"142"
16039,"585"
16041,"220"
16043,"280"
16045,"441"
16047,"319"
16049,"486"
16051,"493"
16053,"449"
16055,"3,982"
16057,"788"
16059,"258"
16061,"68"
16063,"149"
16065,"622"
16067,"476"
16069,"829"
16071,"84"
16073,"166"
16075,"608"
16077,"193"
16079,"524"
16081,"220"
16083,"1,655"
16085,"337"
16087,"293"
17000,"460,363"
17001,"1,757"
17003,"276"
17005,"518"
17007,"2,076"
17009,"116"
17011,"1,291"
17013,"200"
17015,"513"
17017,"443"
17019,"6,243"
17021,"1,206"
17023,"578"
17025,"522"
17027,"1,105"
17029,"1,658"
17031,"196,439"
17033,"654"
17035,"358"
17037,"3,592"
17039,"523"
17041,"583"
17043,"28,970"
17045,"658"
17047,"195"
17049,"1,022"
17051,"746"
17053,"401"
17055,"1,544"
17057,"1,361"
17059,"180"
17061,"431"
17063,"2,180"
17065,"257"
17067,"592"
17069,"143"
17071,"237"
17073,"1,702"
17075,"965"
17077,"1,822"
17079,"305"
17081,"1,313"
17083,"794"
17085,"719"
17087,"404"
17089,"18,372"
17091,"4,484"
17093,"4,091"
17095,"1,640"
17097,"23,858"
17099,"4,717"
17101,"481"
17103,"1,178"
17105,"1,132"
17107,"849"
17109,"991"
17111,"10,635"
17113,"5,036"
17115,"4,406"
17117,"1,733"
17119,"9,339"
17121,"1,394"
17123,"403"
17125,"578"
17127,"509"
17129,"386"
17131,"589"
17133,"963"
17135,"1,080"
17137,"1,060"
17139,"386"
17141,"1,951"
17143,"7,105"
17145,"765"
17147,"485"
17149,"451"
17151,"147"
17153,"224"
17155,"239"
17157,"953"
17159,"483"
17161,"5,159"
17163,"10,044"
17165,"889"
17167,"6,242"
17169,"231"
17171,"176"
17173,"702"
17175,"213"
17177,"1,671"
17179,"4,626"
17181,"650"
17183,"3,059"
17185,"339"
17187,"516"
17189,"442"
17191,"514"
17193,"426"
17195,"2,028"
17197,"26,531"
17199,"2,247"
17201,"11,876"
17203,"1,100"
18000,"194,959"
18001,"774"
18003,"10,160"
18005,"1,906"
18007,"250"
18009,"395"
18011,"1,428"
18013,"450"
18015,"532"
18017,"1,036"
18019,"3,144"
18021,"856"
18023,"876"
18025,"379"
18027,"689"
18029,"1,648"
18031,"714"
18033,"1,130"
18035,"3,821"
18037,"915"
18039,"5,305"
18041,"729"
18043,"2,040"
18045,"581"
18047,"706"
18049,"622"
18051,"848"
18053,"2,284"
