"","state_fips","county_fips","county.name","Dollars","Rank.in.State","Percent.Change","Rank.in.State.1"
"108",5,41,"Desha","38,024","5",0.5,"65"
"109",5,43,"Drew","34,243","17",1.3,"60"
"110",5,45,"Faulkner","33,350","27",3.1,"48"
"111",5,47,"Franklin","30,317","51",8.8,"5"
"112",5,49,"Fulton","26,991","70",7.1,"16"
"113",5,51,"Garland","36,218","7",4,"40"
"114",5,53,"Grant","33,876","22",3.1,"49"
"115",5,55,"Greene","30,549","48",1,"64"
"116",5,57,"Hempstead","30,298","52",6.8,"19"
"117",5,59,"Hot Spring","28,524","63",4.4,"36"
"118",5,61,"Howard","32,232","38",8.9,"4"
"119",5,63,"Independence","32,403","37",3.4,"46"
"120",5,65,"Izard","28,371","64",3.7,"43"
"121",5,67,"Jackson","29,730","55",1.1,"63"
"122",5,69,"Jefferson","31,684","42",1.2,"61"
"123",5,71,"Johnson","26,275","72",5.6,"25"
"124",5,73,"Lafayette","35,706","10",7.2,"13"
"125",5,75,"Lawrence","29,623","57",1.8,"59"
"126",5,77,"Lee","28,088","65",-8.8,"75"
"127",5,79,"Lincoln","25,195","75",-0.1,"67"
"128",5,81,"Little River","32,148","39",5.9,"23"
"129",5,83,"Logan","34,126","18",9,"3"
"130",5,85,"Lonoke","34,897","14",1.1,"62"
"131",5,87,"Madison","32,671","32",10.8,"2"
"132",5,89,"Marion","28,069","66",5,"29"
"133",5,91,"Miller","31,279","45",3.4,"45"
"134",5,93,"Mississippi","32,786","31",3,"50"
"135",5,95,"Monroe","35,577","11",4.7,"30"
"136",5,97,"Montgomery","27,765","68",4.6,"32"
"137",5,99,"Nevada","32,620","33",4.6,"33"
"138",5,101,"Newton","25,991","73",6.9,"18"
"139",5,103,"Ouachita","33,007","29",4.6,"34"
"140",5,105,"Perry","31,679","43",2.8,"52"
"141",5,107,"Phillips","32,874","30",4,"39"
"142",5,109,"Pike","29,770","54",7.9,"7"
"143",5,111,"Poinsett","30,383","50",-2.1,"72"
"144",5,113,"Polk","29,061","59",7.5,"10"
"145",5,115,"Pope","31,962","40",4,"41"
"146",5,117,"Prairie","33,892","21",-0.8,"69"
"147",5,119,"Pulaski","46,349","3",2.8,"51"
"148",5,121,"Randolph","29,328","58",3.2,"47"
"149",5,123,"St. Francis","25,369","74",-0.9,"70"
"150",5,125,"Saline","36,076","9",2.5,"55"
"151",5,127,"Scott","28,670","62",7.8,"8"
"152",5,129,"Searcy","27,775","67",5.6,"24"
"153",5,131,"Sebastian","37,658","6",4.6,"31"
"154",5,133,"Sevier","26,515","71",8.4,"6"
"155",5,135,"Sharp","29,009","61",7.2,"14"
"156",5,137,"Stone","27,678","69",7.4,"11"
"157",5,139,"Union","46,862","2",6.6,"21"
"158",5,141,"Van Buren","29,698","56",7,"17"
"159",5,143,"Washington","34,592","15",3.8,"42"
"160",5,145,"White","31,813","41",3.4,"44"
"161",5,147,"Woodruff","34,082","19",0.2,"66"
"162",5,149,"Yell","30,915","47",6.7,"20"
"165",6,1,"Alameda","56,261","8",4.6,"19"
"166",6,3,"Alpine","62,410","6",6.3,"5"
"167",6,5,"Amador","39,504","33",3.3,"38"
"168",6,7,"Butte","37,005","40",2.2,"54"
"169",6,9,"Calaveras","43,099","27",4.6,"17"
"170",6,11,"Colusa","43,840","25",-5.9,"58"
"171",6,13,"Contra Costa","63,752","5",4.7,"14"
"172",6,15,"Del Norte","30,437","58",4.4,"21"
"173",6,17,"El Dorado","56,965","7",3.2,"41"
"174",6,19,"Fresno","35,785","45",2.6,"51"
"175",6,21,"Glenn","38,278","36",-1.9,"57"
"176",6,23,"Humboldt","37,783","38",3.8,"30"
"177",6,25,"Imperial","32,398","55",2.9,"48"
"178",6,27,"Inyo","44,602","23",2.8,"49"
"179",6,29,"Kern","36,165","43",2.8,"50"
"180",6,31,"Kings","32,371","56",7.7,"2"
"181",6,33,"Lake","35,259","46",3.3,"39"
"182",6,35,"Lassen","33,432","51",3.5,"34"
"183",6,37,"Los Angeles","49,400","17",3.8,"28"
"184",6,39,"Madera","33,042","52",1.1,"56"
"185",6,41,"Marin","98,626","1",4.6,"20"
"186",6,43,"Mariposa","41,893","29",5.4,"9"
"187",6,45,"Mendocino","39,545","32",3.2,"40"
"188",6,47,"Merced","33,865","49",3.3,"37"
"189",6,49,"Modoc","40,541","31",7,"3"
"190",6,51,"Mono","43,398","26",3.9,"27"
"191",6,53,"Monterey","46,109","19",3.1,"42"
"192",6,55,"Napa","54,596","10",3.7,"31"
"193",6,57,"Nevada","50,312","16",3.3,"36"
"194",6,59,"Orange","55,096","9",3.7,"32"
"195",6,61,"Placer","54,423","11",3,"44"
"196",6,63,"Plumas","45,554","21",6.7,"4"
"197",6,65,"Riverside","33,590","50",3.3,"35"
"198",6,67,"Sacramento","43,944","24",3,"45"
"199",6,69,"San Benito","41,486","30",4.8,"11"
"200",6,71,"San Bernardino","32,892","53",3.8,"29"
"201",6,73,"San Diego","51,459","13",3.1,"43"
"202",6,75,"San Francisco","90,600","2",4.6,"18"
"203",6,77,"San Joaquin","36,136","44",4.1,"24"
"204",6,79,"San Luis Obispo","45,947","20",2.9,"47"
"205",6,81,"San Mateo","89,659","3",4.7,"16"
"206",6,83,"Santa Barbara","50,523","14",2.9,"46"
"207",6,85,"Santa Clara","74,883","4",4.8,"10"
"208",6,87,"Santa Cruz","52,280","12",4.7,"15"
"209",6,89,"Shasta","37,905","37",4.2,"22"
"210",6,91,"Sierra","37,239","39",8.8,"1"
"211",6,93,"Siskiyou","37,002","41",4.1,"23"
"212",6,95,"Solano","42,073","28",4.7,"12"
"213",6,97,"Sonoma","49,185","18",4.7,"13"
"214",6,99,"Stanislaus","36,356","42",4,"26"
"215",6,101,"Sutter","38,871","34",1.8,"55"
"216",6,103,"Tehama","32,666","54",4.1,"25"
"217",6,105,"Trinity","32,261","57",5.7,"6"
"218",6,107,"Tulare","35,240","47",5.5,"8"
"219",6,109,"Tuolumne","38,639","35",5.6,"7"
"220",6,111,"Ventura","50,405","15",3.5,"33"
"221",6,113,"Yolo","45,132","22",2.3,"53"
"222",6,115,"Yuba","34,989","48",2.5,"52"
"225",8,1,"Adams","35,385","49",4.9,"27"
"226",8,3,"Alamosa","33,250","55",4.3,"43"
"227",8,5,"Arapahoe","56,294","10",4.5,"37"
"228",8,7,"Archuleta","36,679","45",5.9,"14"
"229",8,9,"Baca","39,405","34",-11,"64"
"230",8,11,"Bent","30,019","59",6.2,"13"
