"state_fips","county_fips","n_storms","total_intensity"
"13","045",19,23
"13","047",4,7
"13","049",9,3
"13","051",23,19
"13","053",9,10
"13","055",5,7
"13","057",23,26
"13","059",4,3
"13","061",4,3
"13","063",9,9
"13","065",5,3
"13","067",24,31
"13","069",16,12
"13","071",29,23
"13","073",4,6
"13","075",9,8
"13","077",18,19
"13","079",7,10
"13","081",5,6
"13","083",7,10
"13","085",4,5
"13","087",21,24
"13","089",7,7
"13","091",10,11
"13","093",16,20
"13","095",16,14
"13","097",8,8
"13","099",22,17
"13","101",4,1
"13","103",8,11
"13","105",9,8
"13","107",6,8
"13","109",3,2
"13","111",5,6
"13","113",5,1
"13","115",17,26
"13","117",5,5
"13","119",12,15
"13","121",22,25
"13","123",12,10
"13","125",3,2
"13","127",21,12
"13","129",6,11
"13","131",15,20
"13","133",1,2
"13","135",10,15
"13","137",14,18
"13","139",25,27
"13","141",7,11
"13","143",19,23
"13","145",18,20
"13","147",9,9
"13","149",7,8
"13","151",11,10
"13","153",16,18
"13","155",8,6
"13","157",7,8
"13","159",4,5
"13","161",5,3
"13","163",10,10
"13","165",9,7
"13","167",4,5
"13","169",7,4
"13","171",8,5
"13","173",4,4
"13","175",20,18
"13","177",11,10
"13","179",7,7
"13","181",10,9
"13","183",3,4
"13","185",19,21
"13","187",8,13
"13","189",5,2
"13","191",7,6
"13","193",5,7
"13","195",6,6
"13","197",9,10
"13","199",13,13
"13","201",7,3
"13","205",19,23
"13","207",11,5
"13","209",4,7
"13","211",4,5
"13","213",9,7
"13","215",13,17
"13","217",8,12
"13","219",11,8
"13","221",5,6
"13","223",5,5
"13","225",5,8
"13","227",5,10
"13","229",12,9
"13","231",6,11
"13","233",12,19
"13","235",10,6
"13","237",5,6
"13","239",2,2
"13","241",3,4
"13","243",6,8
"13","245",8,6
"13","247",5,5
"13","249",3,6
"13","251",17,17
"13","253",6,11
"13","255",9,5
"13","257",8,9
"13","259",7,7
"13","261",21,26
"13","263",5,3
"13","267",11,13
"13","269",12,15
"13","271",8,9
"13","273",7,7
"13","275",11,13
"13","277",15,15
