"state_fips","county_fips","STNAME","CTYNAME","YEAR","TOT_POP","WA","BA","IA","AA","Na","NH","H"
2,130,"Alaska","Ketchikan Gateway Borough",3,13536,9326,82,1947,951,26,12976,560
2,150,"Alaska","Kodiak Island Borough",3,13637,7922,105,1840,2697,93,12619,1018
2,164,"Alaska","Lake and Peninsula Borough",3,1638,392,9,1062,5,5,1591,47
2,170,"Alaska","Matanuska-Susitna Borough",3,89783,76918,916,5062,1134,236,86400,3383
2,180,"Alaska","Nome Census Area",3,9543,1604,28,7230,100,9,9422,121
2,185,"Alaska","North Slope Borough",3,9467,3205,99,5136,442,104,9216,251
2,188,"Alaska","Northwest Arctic Borough",3,7531,857,43,6125,45,12,7469,62
2,195,"Alaska","Petersburg Borough",3,3209,2599,15,243,97,6,3088,121
2,198,"Alaska","Prince of Wales-Hyder Census Area",3,6214,2990,19,2618,23,22,6068,146
2,220,"Alaska","Sitka City and Borough",3,8897,5885,49,1547,547,29,8447,450
2,230,"Alaska","Skagway Municipality",3,965,886,1,35,5,1,943,22
2,240,"Alaska","Southeast Fairbanks Census Area",3,7053,5743,77,814,66,27,6810,243
2,261,"Alaska","Valdez-Cordova Census Area",3,9678,7224,51,1328,368,55,9320,358
2,270,"Alaska","Wade Hampton Census Area",3,7473,223,2,7079,19,0,7457,16
2,275,"Alaska","Wrangell City and Borough",3,2366,1725,4,378,35,1,2329,37
2,282,"Alaska","Yakutat City and Borough",3,661,280,3,238,27,11,643,18
2,290,"Alaska","Yukon-Koyukuk Census Area",3,5589,1243,10,3996,13,7,5519,70
4,1,"Arizona","Apache County",3,71749,17633,207,52464,226,26,67564,4185
4,3,"Arizona","Cochise County",3,131868,116713,5861,2173,2700,493,88960,42908
4,5,"Arizona","Coconino County",3,134603,89592,1787,37541,2046,251,116372,18231
4,7,"Arizona","Gila County",3,53534,44044,280,8132,290,49,43886,9648
4,9,"Arizona","Graham County",3,37139,30048,753,5461,220,71,25807,11332
4,11,"Arizona","Greenlee County",3,8343,7755,100,262,62,8,4335,4008
4,12,"Arizona","La Paz County",3,20446,16121,164,3430,135,15,15630,4816
4,13,"Arizona","Maricopa County",3,3823609,3272290,206392,99841,141399,10049,2691265,1132344
4,15,"Arizona","Mohave County",3,200380,186122,2052,5360,2255,437,170646,29734
4,17,"Arizona","Navajo County",3,107649,56620,1022,47248,623,95,95973,11676
