"n_storms","total_intensity","intensity_per_area","state_fips","county_fips"
NA,1000,5458.45184593863,48,11
22,2452609.375,702137.446357765,48,15
27,3133124.4212963,552596.090131919,48,25
18,703927.662037037,271372.086765448,48,41
38,2154900.07716049,344306.591384424,48,51
36,6083792.82407407,1098103.0692055,48,71
5,104291.666666667,66008.9092571926,48,83
NA,1000,5458.45184593863,48,111
NA,1000,5458.45184593863,48,135
9,141750,66697.1885194566,48,139
NA,1000,5458.45184593863,48,141
NA,1000,5458.45184593863,48,169
30,1373305.55555556,234552.518234529,48,185
44,3665894.67592593,382111.88950294,48,199
8,193771.412037037,103086.414642302,48,213
21,5028634.25925926,645277.998438927,48,215
NA,1000,5458.45184593863,48,229
14,606800.925925926,211023.924413513,48,239
4,70791.0879629629,168842.596336544,48,315
NA,1000,5458.45184593863,48,323
NA,1000,5458.45184593863,48,329
NA,1000,5458.45184593863,48,343
2,19000,147083.779285472,48,379
NA,1000,5458.45184593863,48,383
26,6259350.69444444,1434700.88218088,48,409
10,864687.5,420012.447603978,48,419
7,244063.078703704,326997.723007885,48,449
3,81125,108794.091626175,48,453
42,3237676.8904321,614701.175592488,48,473
35,2653243.63425926,94693.5849958604,48,479
NA,1000,5458.45184593863,49,5
NA,1000,5458.45184593863,49,7
NA,1000,5458.45184593863,49,11
NA,1000,5458.45184593863,49,23
NA,1000,5458.45184593863,49,29
NA,1000,5458.45184593863,49,35
NA,1000,5458.45184593863,49,45
NA,1000,5458.45184593863,49,49
6,796671.296296296,470983.947660501,50,27
13,464822.337962963,175010.993917357,51,19
5,361766.203703704,469207.630655114,51,29
5,282421.875,451102.824948705,51,37
4,308453.703703704,669828.797440093,51,41
11,724791.087962963,495122.936955843,51,53
12,533641.203703704,238387.889867543,51,67
1,3375,30083.165648552,51,69
9,384472.222222222,340503.556777176,51,85
4,475615.740740741,1838806.3217487,51,87
4,263010.99537037,1324124.27071159,51,99
8,669313.078703704,595266.009941441,51,107
6,346135.416666667,425187.02761546,51,109
13,822995.949074074,356896.186648991,51,117
3,198000,1119087.91086519,51,127
6,574457.75462963,374106.676013266,51,143
2,23625,136583.432431199,51,155
4,57093.1712962963,215852.776608296,51,161
6,456879.62962963,553592.227292164,51,171
3,182884.837962963,446579.638036067,51,185
NA,1000,5458.45184593863,53,5
NA,1000,5458.45184593863,53,9
NA,1000,5458.45184593863,53,11
NA,1000,5458.45184593863,53,15
NA,1000,5458.45184593863,53,25
NA,1000,5458.45184593863,53,31
NA,1000,5458.45184593863,53,37
NA,1000,5458.45184593863,53,45
NA,1000,5458.45184593863,53,61
3,38745.3703703704,93279.8920947944,54,7
NA,1000,5458.45184593863,54,17
NA,1000,5458.45184593863,54,33
NA,1000,5458.45184593863,54,63
1,91125,2501573.39463518,54,73
5,108875,167824.215841385,54,87
1,125000,1100492.69409809,54,93
2,102957.75462963,505673.363156345,54,107
NA,1000,5458.45184593863,55,23
NA,1000,5458.45184593863,55,37
NA,1000,5458.45184593863,55,129
NA,1000,5458.45184593863,56,39
7,107167.24537037,80121.4318351516,1,43
23,509921.875,112046.388341563,1,49
20,445016.203703704,160362.284879721,1,55
23,572334.490740741,151140.572367719,1,63
11,233647.569444444,129865.183131616,1,65
21,1735135.41666667,579923.293098648,1,69
17,327438.657407407,68158.1097622488,1,73
17,347380.208333333,98593.6853320941,1,89
4,72313.0787037037,114284.532012393,1,95
39,2859405.09259259,287986.075975335,1,99
14,616425.925925926,274335.244985708,1,113
26,569072.916666667,132924.705855788,1,115
NA,1000,5458.45184593863,4,1
NA,1000,5458.45184593863,4,7
NA,1000,5458.45184593863,4,13
NA,1000,5458.45184593863,4,15
NA,1000,5458.45184593863,4,25
8,334239.583333333,241244.514332396,5,17
2,64696.7592592593,214002.941540137,5,25
5,211811.921296296,204981.146834715,5,41
5,82500,97001.0010663479,5,45
3,71938.0787037037,128391.9592735,5,57
12,145891.203703704,80684.7146794693,5,61
4,130296.296296296,197144.880249094,5,67
5,179776.041666667,234397.213509919,5,75
18,187386.574074074,73180.9128417066,5,81
5,78277.1990740741,76479.1721414813,5,85
13,198593.75,95528.8363197003,5,91
5,248890.625,314477.184331258,5,95
3,74557.2916666667,134488.960594362,5,107
1,8000,46396.3511621133,5,117
9,87733.7962962963,66358.802442865,5,133
6,356578.703703704,390279.42024633,5,147
NA,1000,5458.45184593863,6,45
NA,1000,5458.45184593863,6,51
NA,1000,5458.45184593863,6,55
NA,1000,5458.45184593863,6,59
NA,1000,5458.45184593863,6,65
NA,1000,5458.45184593863,6,81
NA,1000,5458.45184593863,6,91
NA,1000,5458.45184593863,6,95
NA,1000,5458.45184593863,6,101
NA,1000,5458.45184593863,6,105
NA,1000,5458.45184593863,6,109
NA,1000,5458.45184593863,6,115
NA,1000,5458.45184593863,8,13
1,3375,24417.3016111994,18,71
2,64921.2962962963,269360.00913796,18,131
NA,1000,5458.45184593863,18,161
5,62875,90888.9663559655,18,175
NA,1000,5458.45184593863,19,21
NA,1000,5458.45184593863,19,63
NA,1000,5458.45184593863,19,111
1,49296.2962962963,409314.284203308,19,117
NA,1000,5458.45184593863,20,203
2,31250,169826.35867882,21,3
2,58500,223740.292712309,21,25
NA,1000,5458.45184593863,21,29
2,23625,129233.826945706,21,33
1,8000,81831.9253188041,21,55
3,37739.0046296296,99630.5250700152,21,59
1,15625,230979.734405181,21,65
2,94500,503713.695483624,21,69
1,20796.875,336234.6577851,21,79
1,3375,35583.1454205096,21,89
1,27000,220361.153043564,21,95
1,42875,469299.050063971,21,109
1,37037.037037037,398536.660118297,21,119
1,15625,224429.27220686,21,123
3,58250,215946.133014979,21,139
1,3375,41257.9728415619,21,153
1,42875,784251.784051396,21,165
2,26962.962962963,85700.2366008685,21,183
2,37703.125,209222.845889828,21,193
4,114009.837962963,136968.013285361,21,195
2,86333.3333333333,514579.792685104,21,203
1,24811.9212962963,325409.115948589,21,205
3,114235.532407407,500143.420108716,21,209
NA,1000,5458.45184593863,21,229
12,1965782.40740741,1430865.97673279,22,33
10,282504.62962963,256232.129248754,22,35
22,2073009.25925926,568433.065616816,22,39
8,191760.416666667,146527.027553515,22,43
37,6736729.16666667,1214085.41752913,22,45
12,1543192.12962963,1968544.10360213,22,55
24,1133618.63425926,289449.202052455,22,59
29,2987573.49537037,612555.742933086,22,63
9,482719.907407407,341701.838950834,22,73
33,1915740.16203704,173952.848198294,22,79
45,9891534.14351852,1110400.58145772,22,99
65,35563355.3240741,3077504.44221964,22,101
1,76765.625,340046.950720504,22,111
16,667779.513888889,272512.150464014,22,119
8,1023725.11574074,248501.85169414,23,7
39,3559109.9537037,69508.3554971047,23,21
2,49953.125,111636.795612955,23,27
12,908399.884259259,449551.4425656,24,5
3,95359.375,362620.85700246,24,11
6,720055.555555556,663110.331291868,24,21
7,964858.217592593,1007677.89357011,24,31
14,1158574.65277778,531427.477029865,24,47
9,3921875.5787037,3455635.12347963,25,1
6,585318.287037037,474115.679528078,25,11
NA,1000,5458.45184593863,19,163
NA,1000,5458.45184593863,19,171
NA,1000,5458.45184593863,20,9
2,16000,38538.8347151883,20,33
NA,1000,5458.45184593863,20,69
NA,1000,5458.45184593863,20,149
2,16000,41657.8563622241,20,165
NA,1000,5458.45184593863,8,27
NA,1000,5458.45184593863,8,31
NA,1000,5458.45184593863,8,43
NA,1000,5458.45184593863,8,51
NA,1000,5458.45184593863,8,53
NA,1000,5458.45184593863,8,57
NA,1000,5458.45184593863,8,67
NA,1000,5458.45184593863,8,77
NA,1000,5458.45184593863,8,83
NA,1000,5458.45184593863,8,91
NA,1000,5458.45184593863,8,107
NA,1000,5458.45184593863,8,117
4,472754.62962963,648969.696117109,9,1
17,3416447.33796296,1159617.7934715,9,9
18,3154785.87962963,899331.895352312,9,11
3,311754.62962963,856641.683144258,10,3
10,2820171.2962963,3877701.10663019,12,7
36,7308400.31828704,1453406.31073474,12,13
47,7073762.73148148,951095.814629604,12,17
24,3449173.03240741,738962.948539305,12,23
33,4631646.41203704,1090179.09351689,12,39
34,10239493.6342593,2181902.75501315,12,45
47,9438290.50925926,1347400.26805301,12,65
72,9626180.62789352,483039.514688653,12,69
30,2556676.50462963,499235.899583299,12,73
59,12568194.8915479,1011205.56912943,12,93
61,8145324.07407407,372894.15289848,12,97
4,92921.875,365497.995487865,13,21
25,2926250.5787037,1067754.07867147,13,25
16,1557290.50925926,800857.673071351,13,27
44,3533641.2037037,469825.959061791,13,31
34,3279913.77314815,504183.548506472,13,49
20,341505.208333333,152666.024855865,13,77
25,1509531.8287037,351706.249747379,13,107
22,2309290.50925926,919688.339175038,13,127
3,85500,401198.676936337,13,137
7,182750,239730.020009772,13,139
6,161864.00462963,377832.911754841,13,143
12,672401.62037037,593589.840082863,13,153
17,533766.203703704,237029.390513246,13,163
38,5311399.88425926,1046411.09630067,13,179
21,1813567.12962963,867216.749972247,13,183
2,30375,226897.737588718,13,189
27,1550791.08796296,455822.927865366,13,205
5,29125,106022.727342126,13,215
8,134078.125,238728.41854214,13,217
10,294328.125,263843.704166062,13,221
19,1661732.63888889,1037658.51870131,13,229
1,42875,474132.685613827,13,237
3,59811.9212962963,206924.901489608,13,241
10,292859.953703704,355068.262580807,13,245
26,2508209.49074074,590337.970068493,13,251
9,543020.833333333,495504.1408274,13,261
17,1913477.43055556,932270.002554238,13,267
30,2430693.28703704,507690.727534263,13,305
24,1473822.91666667,650530.535309442,13,315
15,383656.25,213976.944879995,13,317
NA,1000,5458.45184593863,16,3
NA,1000,5458.45184593863,16,5
NA,1000,5458.45184593863,16,49
NA,1000,5458.45184593863,16,59
NA,1000,5458.45184593863,16,69
NA,1000,5458.45184593863,16,77
NA,1000,5458.45184593863,16,79
NA,1000,5458.45184593863,16,87
NA,1000,5458.45184593863,17,31
1,8000,72125.238995115,17,39
1,8000,42277.5091784035,17,91
NA,1000,5458.45184593863,17,129
NA,1000,5458.45184593863,17,161
9,85109.375,92349.95727116,17,165
2,43875,233655.309526167,18,1
NA,1000,5458.45184593863,18,35
2,35000,131435.939548304,18,51
5,21375,33001.8627014727,18,61
4,196879.62962963,131715.265132788,36,9
3,157520.833333333,171356.710662315,36,13
4,206000,156609.605166668,36,19
1,64000,213141.644666878,36,29
1,296296.296296296,1060875.14055553,36,105
1,81370.3703703704,334751.049237019,36,115
8,1117297.4537037,1053356.03470311,36,119
2,105118.634259259,470278.187336959,37,9
20,2106622.68518519,573032.961981983,37,15
13,1555185.76388889,1868952.82299829,37,29
2,35000,146380.567340759,37,39
53,9071527.77777778,913652.541624573,37,49
33,9648593.75,2733648.51200235,37,55
6,143203.125,345795.673871689,37,59
14,1366888.88888889,745227.829345669,37,65
5,78000,201457.723386156,37,75
25,1372880.78703704,355538.394938826,37,85
2,23625,122632.674739556,37,89
77,15622451.9675926,1115695.58506538,37,95
4,130119.791666667,256312.158776402,37,99
11,389890.046296296,253144.013761539,37,119
NA,1000,5458.45184593863,37,121
12,3672037.61574074,5511385.47763509,37,129
22,2238188.0787037,709903.946632977,37,131
8,960615.740740741,1990877.89630587,37,139
1,42875,700620.186841678,37,149
50,2577331.01851852,212856.642133276,37,155
14,694845.486111111,367776.68324467,37,159
8,171875,147733.756462896,37,161
6,357937.5,729687.606222134,37,165
7,114625,167852.901658714,37,175
18,1495892.93981481,580992.430588842,37,191
NA,1000,5458.45184593863,38,5
NA,1000,5458.45184593863,38,35
NA,1000,5458.45184593863,38,55
NA,1000,5458.45184593863,38,59
NA,1000,5458.45184593863,38,75
2,58500,405581.440038117,39,43
3,129495.37037037,387398.365678037,39,61
1,8000,69627.8295779902,39,73
9,2475150.46296296,1144782.32075304,25,17
9,1103578.125,1052748.91173615,25,21
18,2211901.04166667,621818.80083669,25,23
NA,1000,5458.45184593863,26,13
NA,1000,5458.45184593863,26,29
NA,1000,5458.45184593863,26,33
NA,1000,5458.45184593863,26,53
1,56328.7037037037,228837.024436857,26,63
NA,1000,5458.45184593863,26,83
NA,1000,5458.45184593863,26,89
2,126000,456986.657797855,26,99
NA,1000,5458.45184593863,26,103
NA,1000,5458.45184593863,26,119
NA,1000,5458.45184593863,27,13
NA,1000,5458.45184593863,27,23
NA,1000,5458.45184593863,27,27
NA,1000,5458.45184593863,27,53
NA,1000,5458.45184593863,27,73
NA,1000,5458.45184593863,27,77
NA,1000,5458.45184593863,27,97
NA,1000,5458.45184593863,27,101
NA,1000,5458.45184593863,27,107
NA,1000,5458.45184593863,27,127
NA,1000,5458.45184593863,27,137
NA,1000,5458.45184593863,27,163
NA,1000,5458.45184593863,27,171
NA,1000,5458.45184593863,27,173
20,585552.083333333,158872.368242313,28,7
27,1766956.01851852,381610.414328206,28,23
7,336342.592592593,378672.714531795,28,33
21,674453.703703704,147651.754043271,28,49
1,15625,144827.976252089,28,53
19,706167.24537037,243739.13386948,28,83
16,815005.787037037,275956.665171876,28,89
34,9539016.2037037,1404940.57553157,28,109
4,220927.662037037,451057.831514144,28,143
4,88443.8657407407,208669.345601034,28,145
NA,1000,5458.45184593863,29,61
NA,1000,5458.45184593863,29,95
7,130942.12962963,90481.4928137878,29,149
NA,1000,5458.45184593863,29,197
NA,1000,5458.45184593863,29,199
NA,1000,5458.45184593863,29,227
NA,1000,5458.45184593863,30,1
NA,1000,5458.45184593863,30,5
NA,1000,5458.45184593863,30,7
NA,1000,5458.45184593863,30,27
NA,1000,5458.45184593863,30,31
NA,1000,5458.45184593863,30,35
NA,1000,5458.45184593863,30,45
NA,1000,5458.45184593863,30,55
NA,1000,5458.45184593863,30,57
NA,1000,5458.45184593863,30,77
NA,1000,5458.45184593863,30,85
NA,1000,5458.45184593863,30,87
NA,1000,5458.45184593863,30,105
NA,1000,5458.45184593863,31,5
NA,1000,5458.45184593863,31,117
NA,1000,5458.45184593863,31,157
NA,1000,5458.45184593863,31,183
NA,1000,5458.45184593863,32,1
7,670916.666666667,188654.886536743,33,9
4,404520.25462963,1479823.44673164,34,3
8,1558500,2524677.44842659,34,9
3,214370.37037037,1994881.25916985,34,13
NA,1000,5458.45184593863,34,23
1,244140.625,2579283.95961223,34,33
NA,1000,5458.45184593863,35,19
NA,1000,5458.45184593863,35,31
28,707833.912037037,96453.8047196474,48,73
NA,1000,5458.45184593863,48,79
24,3651468.1712963,647733.817073572,48,89
NA,1000,5458.45184593863,48,109
3,66754.6296296296,318922.249082002,48,119
47,12277921.1248285,2589430.82565113,48,167
1,24811.9212962963,143947.442990605,48,187
22,464366.319444444,92694.6480392727,48,203
1,15625,68544.9613065406,48,207
28,1983248.84259259,299446.216831726,48,241
65,18508810.7638889,783735.611729309,48,261
1,37037.037037037,121647.361567427,48,267
10,158437.5,67439.146662812,48,277
7,287412.037037037,266560.403187987,48,287
NA,1000,5458.45184593863,48,301
37,2693406.8287037,264081.54353,48,311
1,137921.296296296,625685.766114861,48,327
17,2001425.34722222,789364.973417366,51,1
NA,1000,5458.45184593863,51,5
9,925280.092592592,1088624.50969926,51,7
3,163037.037037037,382396.875132373,51,17
4,69046.2962962963,130211.439700577,51,27
6,452229.166666667,565030.272610455,51,31
2,36203.125,145013.64771576,51,35
7,998046.296296296,2702605.15604992,51,36
2,50875,290254.76758755,51,51
8,767879.62962963,1353084.98583447,51,57
10,814384.259259259,465877.558600335,51,61
4,39625,85122.2770322849,51,77
5,311500,804036.974335648,51,81
3,49337.962962963,148086.646493346,51,91
9,404495.37037037,594575.683053915,51,101
8,541665.509259259,597690.151671094,51,111
2,23625,115652.622206655,51,121
13,1046161.45833333,882183.699551051,51,131
5,181109.375,522829.39518496,51,145
6,603708.912037037,1404780.28446119,51,157
2,31250,125111.864192772,51,167
5,577865.740740741,1047413.61901973,51,177
5,90125,169683.862626402,51,195
NA,1000,5458.45184593863,51,678
NA,1000,5458.45184593863,51,840
NA,1000,5458.45184593863,53,43
NA,1000,5458.45184593863,53,47
NA,1000,5458.45184593863,53,49
NA,1000,5458.45184593863,53,57
NA,1000,5458.45184593863,53,77
1,27000,291845.792413251,54,1
3,38968.1712962963,141955.955980163,54,21
1,3375,12412.1032403057,54,25
1,3375,21438.5190512602,54,31
1,3375,32167.2265769373,54,41
4,92885.9953703704,192277.486672667,54,45
NA,1000,5458.45184593863,54,65
6,169750,112557.277326166,54,75
2,106875,756052.687945341,54,95
1,42875,314538.440569936,54,99
3,158500,398393.859304912,54,109
NA,1000,5458.45184593863,48,341
25,1078547.4537037,178602.361452361,48,347
29,2286360.53240741,343815.183395445,48,351
NA,1000,5458.45184593863,48,371
NA,1000,5458.45184593863,48,377
9,193300.925925926,80719.9915453807,48,387
34,1207737.26851852,167761.683913387,48,395
10,1371937.5,943120.980929132,48,405
NA,1000,5458.45184593863,48,415
12,1806490.74074074,522418.813003095,48,427
NA,1000,5458.45184593863,48,435
40,1366557.87037037,195424.478713372,48,455
33,2282589.69907407,302908.320268683,48,457
NA,1000,5458.45184593863,48,465
NA,1000,5458.45184593863,48,475
33,1994816.55092593,400642.624243058,48,477
NA,1000,5458.45184593863,49,37
NA,1000,5458.45184593863,49,47
NA,1000,5458.45184593863,49,51
NA,1000,5458.45184593863,49,57
NA,1000,5458.45184593863,39,117
NA,1000,5458.45184593863,39,167
2,31250,132072.508576336,39,171
NA,1000,5458.45184593863,40,55
NA,1000,5458.45184593863,40,57
NA,1000,5458.45184593863,40,65
3,117843.75,149170.111768787,40,75
2,16000,53901.8467102047,40,87
4,92317.7083333333,213871.61919134,40,95
1,8000,51750.7901935465,40,117
3,46875,76819.7662668721,40,125
5,80000,87085.6745304782,40,135
1,15625,70013.3519252328,40,141
1,15625,102235.679685553,40,145
NA,1000,5458.45184593863,41,7
NA,1000,5458.45184593863,41,17
NA,1000,5458.45184593863,41,61
