"state_county_fips","Scale"
12043,5.15
12045,2.25
12047,0.58
12049,2.25
12051,4.22
12053,3.71
12055,4.14
12057,4.32
12059,0.89
12061,4.72
12063,1.76
12065,2
12067,0.84
12069,3.4
12071,5.23
12073,1.75
12075,2.47
12077,0.36
12079,1.3
12081,4.66
12083,2.59
12085,5.34
12087,6.05
12089,2.04
12091,2.01
12093,4.7
12095,2.96
12097,4.5
12099,5.14
12101,3.37
12103,5.05
12105,3.98
12107,2.35
12109,2.98
12111,5.03
12113,1.94
12115,4.78
12117,3.14
12119,2.84
12121,0.7
12123,2.32
12125,1.6
12127,3.45
12129,1.95
12131,2.18
12133,1.95
13001,0.06
13003,0.24
13005,-0.47
13007,-0.07
13009,2.09
13011,-1.21
13013,-0.7
13015,1.17
13017,-0.1
13019,0.32
13021,1.81
13023,0.15
13025,0.05
13027,0.35
13029,0.7
13031,0.19
13033,-0.77
13035,1.86
13037,0.21
13039,1.88
13043,0.39
13045,-0.11
13047,-0.54
13049,-0.36
13051,1.76
13053,-0.35
13055,-1.08
13057,1.93
13059,-0.71
13061,1.34
13063,-0.32
13065,0.31
13067,-0.17
13069,-0.49
13071,0.26
13073,0.79
13075,0.7
13077,-0.28
13079,0.97
13081,0.36
13083,-0.39
13085,2.48
13087,1.04
13089,-0.3
13091,-0.08
13093,-0.12
13095,-0.31
13097,-0.45
13099,0.16
13101,0.73
13103,-0.1
13105,-0.34
13107,-0.16
13109,0.28
13111,2.78
13113,-0.24
13115,0.33
13117,0.99
13119,-0.5
13121,-0.24
13123,2.33
13125,-0.78
13127,2.06
13129,-0.52
13131,0.16
13133,2.34
13135,-0.35
13137,1.22
13139,0.96
13141,1.52
13143,-0.39
13145,0.18
13147,0.62
13149,0.22
13151,-0.53
13153,-0.04
13155,0.23
13157,-1.2
13159,1.46
13161,-0.6
13163,-0.46
13165,-0.22
13167,-0.01
13169,0.98
13171,-0.57
13173,0.94
13175,0.01
13177,0.22
13179,1.46
13181,1.13
13183,-0.04
13185,0.27
13187,1.28
13189,1.96
13191,2
13193,-0.54
13195,-1.05
13197,-0.86
13199,-0.59
13201,-1.12
13205,-0.45
13207,1.13
13209,0.07
13211,0.37
13213,1.16
13215,0.08
13217,1.45
13219,-1.04
13221,-1.15
13223,0.44
13225,-0.64
13227,1.56
13229,-0.63
13231,-0.63
13233,0.21
13235,0.28
13237,2.34
13239,1.05
13241,3.11
13243,-0.49
13245,0.02
13247,0.14
13249,-1.42
13251,-0.02
13253,0.87
13255,-0.33
13257,0.53
13259,0.01
13261,0.23
13263,1.1
13265,-0.13
13267,0.54
13269,-0.62
13271,-0.36
13273,-0.21
13275,0.29
13277,0.33
13279,0.24
13281,3.18
13283,0.02
13285,0.93
13287,0.11
13289,-0.11
13291,2.94
13293,1.37
13295,-0.4
13297,-0.94
13299,-0.17
13301,1.04
13303,-0.21
13305,-0.12
13307,-0.55
13309,0.07
13311,1.55
13313,-0.36
13315,-0.29
13317,0.65
13319,1.54
13321,0.06
16001,1.87
16003,3.83
16005,1.73
16007,3.62
16009,3.1
16011,1.91
16013,2.94
16015,3.4
16017,4.57
16019,2
16021,2.61
16023,0.07
16025,2.7
16027,1.82
16029,3.08
16031,1.81
16033,-0.06
16035,2.33
16037,0.86
16039,2.94
16041,1.68
16043,2.95
16045,2.45
16047,0.76
16049,3.17
16051,1.4
16053,0.63
16055,3.5
16057,1.13
16059,0.43
16061,0.99
16063,-0.41
16065,0.92
16067,1.42
16069,1.41
16071,0.17
16073,2.1
16075,1.79
16077,2.04
16079,3.64
16081,1.9
16083,0.96
16085,4.59
16087,2.17
17001,-2.1
17003,0.95
17005,-2.01
17007,-3.32
17009,-2.39
17011,-3.05
17013,-0.75
17015,-0.08
17017,-1.94
17019,-4.55
17021,-2.19
17023,-2.35
17025,-3.01
17027,-0.72
17029,-2.99
17031,-1.04
17033,-2.44
17035,-2.8
17037,-3.58
17039,-2.52
17041,-3.5
17043,-2.33
17045,-3.65
17047,-2.9
17049,-2.81
17051,-1.97
17053,-4.02
17055,-1.19
17057,-1.77
17059,-0.19
17061,-2.24
17063,-2.11
17065,-2.97
17067,-1.63
17069,0.07
17071,-1.29
17073,-3.43
17075,-4
17077,0.71
17079,-2.25
17081,-1.74
17083,-1.68
17085,-0.4
17087,0.28
17089,-2.77
17091,-3.3
17093,-2.85
17095,-2.43
17097,-0.3
17099,-2.75
17101,-2.34
17103,-2.93
17105,-3.95
17107,-3.89
17109,-3.19
17111,-2.4
17113,-3.57
17115,-2.79
17117,-2.36
17119,-1.69
17121,-2.18
17123,-1.89
17125,-1.86
17127,-1.69
17129,-3.04
17131,-2.47
17133,-0.06
17135,-2.18
17137,-2.25
17139,-1.96
17141,-2.82
17143,-2.41
17145,-1.2
17147,-4.21
17149,-1.88
17151,-0.22
17153,-1.43
17155,-1.52
17157,0.63
17159,-2.2
17161,-1.87
17163,-1.81
17165,-0.41
17167,-2.47
17169,-2.08
17171,-2.47
17173,-2.34
17175,-3.87
17177,-3.75
17179,-2.55
17181,0.57
17183,-3.21
17185,-1.68
17187,-3.17
17189,-2.23
17191,-2.61
17193,-1.82
17195,-2.32
17197,-2.41
17199,1.05
17201,-2.5
17203,-2.26
18001,-3.55
18003,-2.97
18005,-2.38
18007,-4.71
18009,-3.27
18011,-3.68
18013,-0.29
18015,-2.83
18017,-3.04
18019,-2.49
18021,-2.56
18023,-4.37
18025,-0.2
18027,-1.7
18029,-2.04
18031,-3.09
18033,-2.81
18035,-2.6
18037,-0.34
18039,-2.72
18041,-3.35
18043,-1.04
18045,-2.68
18047,-1.45
18049,-3.13
18051,-1.56
18053,-3.54
18055,-0.77
18057,-2.53
18059,-3.58
18061,-0.78
18063,-3.61
18065,-2.61
18067,-3.61
18069,-2.34
18071,-0.57
18073,-3.57
18075,-3.98
18077,-0.89
18079,-2.48
18081,-1.16
18083,-1.98
18085,-2.25
18087,-2.36
18089,-1.14
18091,-1.87
18093,-0.35
18095,-3.47
18097,-2.51
18099,-2.41
18101,-0.19
18103,-2.83
18105,0.29
18107,-3.35
18109,-0.88
18111,-3.42
18113,-1.93
18115,-0.49
18117,0.21
18119,-0.76
18121,-2.3
18123,-0.38
18125,-1.75
