"state_county_fips","POVALL_2014","PCTPOVALL_2014"
8043,"7,282",19.1
8045,"5,777",10.2
8047,"459",7.9
8049,"1,511",10.4
8051,"2,216",14.9
8053,"78",10.1
8055,"1,385",22
8057,"232",16.6
8059,"45,482",8.3
8061,"187",13.5
8063,"1,080",14.9
8065,"1,158",16
8067,"5,549",10.7
8069,"40,447",12.8
8071,"2,314",17.4
8073,"814",18.3
8075,"3,296",17.7
8077,"22,155",15.4
8079,"62",8.9
8081,"1,439",11.2
8083,"4,157",16.3
8085,"6,257",15.5
8087,"3,718",13.4
8089,"4,686",26
8091,"444",9.6
8093,"1,525",9.4
8095,"494",11.5
8097,"1,228",7
8099,"2,444",20.9
8101,"29,845",19
8103,"700",10.9
8105,"2,087",18.3
8107,"1,997",8.4
8109,"1,842",29.9
8111,"111",15.5
8113,"774",9.9
8115,"323",13.9
8117,"2,831",9.7
8119,"2,202",9.5
8121,"524",11.4
8123,"28,515",10.5
8125,"1,394",14
9000,"375,281",10.8
9001,"83,132",9
9003,"106,078",12.2
9005,"14,015",7.7
9007,"12,636",7.9
9009,"108,729",13
9011,"28,868",11.1
9013,"10,253",7.5
9015,"11,570",10.3
10000,"118,032",13
10001,"23,484",14.1
10003,"65,642",12.3
10005,"28,907",13.9
11000,"114,790",18.4
11001,"114,790",18.4
12000,"3,231,142",16.6
12001,"52,756",21.6
12003,"4,826",19.6
12005,"27,165",15.6
12007,"5,287",22.6
12009,"79,657",14.5
12011,"268,418",14.5
12013,"2,800",22.3
12015,"19,704",11.9
12017,"27,449",20.1
12019,"21,658",10.9
12021,"49,211",14.3
12023,"13,604",21.7
12027,"9,434",29.7
12029,"3,911",27.1
12031,"159,748",18.2
12033,"44,320",15.3
12035,"11,775",11.6
12037,"2,507",25.3
12039,"11,119",25.6
12041,"3,139",19.8
12043,"2,559",21.1
12045,"2,836",23.1
12047,"3,653",31.7
12049,"7,642",29.9
12051,"9,581",25.3
12053,"26,629",15.3
12055,"18,898",19.5
12057,"217,968",16.8
12059,"4,743",26.7
12061,"21,098",14.7
12063,"9,787",24.3
12065,"2,285",18
12067,"1,791",25.6
12069,"42,954",13.8
12071,"107,493",16
12073,"62,734",23.3
12075,"8,323",21.2
12077,"1,544",24.7
12079,"4,567",27.7
12081,"49,017",14.1
12083,"58,576",17.8
12085,"18,091",12.1
12086,"535,148",20.4
12087,"10,626",14
12089,"8,859",11.7
12091,"23,680",12.4
12093,"9,472",25.9
12095,"222,654",18.2
12097,"59,222",19.3
12099,"204,862",14.9
12101,"70,125",14.7
12103,"139,881",15.2
12105,"112,539",18.1
12107,"20,167",28.5
12109,"17,572",8.2
12111,"49,752",17.3
12113,"17,564",11.2
12115,"42,343",10.8
12117,"51,782",11.8
12119,"11,528",10.9
12121,"9,559",23.7
12123,"4,475",23.4
12125,"2,515",24.3
12127,"87,670",17.7
12129,"4,185",15.1
12131,"9,357",15.8
12133,"4,348",20
13000,"1,802,783",18.4
13001,"4,495",24.9
13003,"2,163",26.5
13005,"2,837",25.9
13007,"886",27.3
13009,"11,809",29.5
13011,"3,077",16.9
13013,"9,440",13
13015,"14,398",14.3
13017,"4,881",28.5
13019,"4,923",26.7
13021,"41,742",28.2
13023,"2,668",23.2
13025,"3,973",21.7
13027,"4,410",28.8
13029,"4,012",11.9
13031,"20,890",31.4
13033,"6,968",31.1
13035,"4,474",21.3
13037,"1,838",38.5
13039,"5,980",12
13043,"3,069",29.1
13045,"24,983",22.9
13047,"8,217",12.6
13049,"2,946",29.5
13051,"48,234",17.9
13053,"1,606",18.8
13055,"4,944",21.1
13057,"21,331",9.3
13059,"41,889",37.8
13061,"1,132",37.3
13063,"60,123",22.9
13065,"1,919",28.5
13067,"93,604",13
13069,"11,140",28.1
13071,"11,982",26.5
13073,"13,098",9.5
13075,"4,438",26.1
13077,"16,804",12.5
13079,"2,437",19.9
13081,"7,327",32.5
13083,"2,519",16.4
13085,"2,671",11.8
13087,"7,244",27.7
13089,"144,818",20.4
13091,"4,952",25.9
13093,"3,731",30.4
13095,"28,119",31.7
13097,"19,423",14.2
13099,"3,089",29.9
13101,"1,078",27.1
13103,"6,031",11
13105,"4,101",21.4
13107,"7,134",32.7
13109,"2,792",26.6
13111,"4,612",19.6
13113,"7,479",6.9
13115,"19,408",21.1
13117,"12,863",6.3
13119,"5,227",24.4
13121,"168,027",17.4
13123,"5,623",19.7
13125,"574",19.4
13127,"15,666",19.3
13129,"9,800",17.8
13131,"6,583",26.2
13133,"3,984",24.4
13135,"116,888",13.4
13137,"6,320",15.3
13139,"31,582",16.8
13141,"2,585",35.3
13143,"5,300",18.8
13145,"3,071",9.5
13147,"5,284",21.4
13149,"2,174",19
13151,"29,088",13.7
13153,"25,310",17.2
13155,"2,133",25.3
13157,"8,283",13.5
13159,"2,424",18.2
13161,"3,635",24.8
13163,"4,154",26.4
13165,"2,727",34.6
13167,"2,418",30.4
13169,"4,119",14.5
13171,"3,605",21.3
13173,"2,417",23.9
13175,"11,903",25.4
13177,"3,331",11.8
13179,"10,742",17.2
13181,"1,354",17.9
13183,"3,666",21.9
13185,"26,225",24.5
13187,"5,297",18.6
13189,"5,817",27.6
13191,"3,290",23.3
13193,"4,054",34.1
13195,"5,534",19.7
13197,"2,255",25.9
13199,"4,931",23.6
13201,"1,460",25.1
13205,"6,693",32.6
13207,"3,815",14.8
13209,"1,860",22.4
13211,"2,673",15
13213,"7,283",18.7
13215,"42,237",21.9
13217,"19,738",19.4
13219,"2,755",7.9
13221,"2,291",15.8
13223,"15,777",10.7
13225,"5,589",21.7
13227,"3,655",12.3
13229,"3,540",18.9
13231,"2,405",13.7
13233,"8,351",20.6
13235,"2,453",23.9
13237,"3,967",18.9
13239,"682",29.5
13241,"3,287",20.6
13243,"2,496",36.3
13245,"49,562",26
13247,"14,983",17.3
13249,"1,035",20.1
13251,"3,584",26.2
13253,"2,258",26.4
13255,"17,205",27.4
13257,"5,184",20.9
13259,"1,664",39.4
13261,"9,996",33.9
13263,"1,513",23.8
13265,"545",32.3
13267,"5,833",28.2
13269,"2,114",25.4
13271,"4,274",33.7
13273,"2,632",29.8
13275,"10,827",24.5
13277,"11,178",28.6
13279,"6,586",24.5
13281,"1,817",18.1
13283,"1,752",27.1
13285,"13,099",19.5
13287,"2,472",31.7
13289,"2,309",28.1
13291,"3,260",15.1
13293,"6,661",25.9
13295,"13,348",20
13297,"13,499",15.6
13299,"9,595",28.8
13301,"1,573",28.9
13303,"5,734",30.2
13305,"7,032",25.5
13307,"603",22.8
13309,"2,103",38.9
13311,"4,606",16.9
13313,"21,240",20.7
13315,"2,113",30.7
13317,"2,617",26.7
13319,"2,130",23.2
13321,"4,692",22.6
15000,"158,266",11.5
15001,"34,598",18.1
15003,"93,994",9.8
15005,"",NA
15007,"8,570",12.3
15009,"21,103",13.1
16000,"237,604",14.8
16001,"48,083",11.6
16003,"569",14.9
16005,"14,116",17.4
16007,"795",13.4
16009,"1,418",15.7
16011,"6,720",15
16013,"2,262",10.6
16015,"1,057",15.6
16017,"6,686",16.2
16019,"16,643",15.5
16021,"1,817",16.7
16023,"385",14.8
16025,"133",12.8
16027,"35,950",18
16029,"778",11.5
16031,"3,615",15.6
16033,"150",17.3
16035,"1,308",16.6
16037,"645",15.7
16039,"3,656",14.4
16041,"1,393",10.8
16043,"1,872",15.1
16045,"2,645",15.9
16047,"2,560",17.1
16049,"2,565",16.3
16051,"3,093",11.5
16053,"3,543",15.7
16055,"18,765",12.9
16057,"7,008",19.9
16059,"1,392",18.2
16061,"523",13.7
16063,"742",14.1
16065,"10,050",27.1
16067,"3,403",16.8
16069,"5,689",14.6
16071,"573",13.9
16073,"2,645",23.6
16075,"3,213",14.2
16077,"1,183",15.7
