"state_county_fips","POVALL_2014"
12061,"21,098"
12063,"9,787"
12065,"2,285"
12067,"1,791"
12069,"42,954"
12071,"107,493"
12073,"62,734"
12075,"8,323"
12077,"1,544"
12079,"4,567"
12081,"49,017"
12083,"58,576"
12085,"18,091"
12086,"535,148"
12087,"10,626"
12089,"8,859"
12091,"23,680"
12093,"9,472"
12095,"222,654"
12097,"59,222"
12099,"204,862"
12101,"70,125"
12103,"139,881"
12105,"112,539"
12107,"20,167"
12109,"17,572"
12111,"49,752"
12113,"17,564"
12115,"42,343"
12117,"51,782"
12119,"11,528"
12121,"9,559"
12123,"4,475"
12125,"2,515"
12127,"87,670"
12129,"4,185"
12131,"9,357"
12133,"4,348"
13000,"1,802,783"
13001,"4,495"
13003,"2,163"
13005,"2,837"
13007,"886"
13009,"11,809"
13011,"3,077"
13013,"9,440"
13015,"14,398"
13017,"4,881"
13019,"4,923"
13021,"41,742"
13023,"2,668"
13025,"3,973"
13027,"4,410"
13029,"4,012"
13031,"20,890"
13033,"6,968"
13035,"4,474"
13037,"1,838"
13039,"5,980"
13043,"3,069"
13045,"24,983"
13047,"8,217"
13049,"2,946"
13051,"48,234"
13053,"1,606"
13055,"4,944"
13057,"21,331"
13059,"41,889"
13061,"1,132"
13063,"60,123"
13065,"1,919"
13067,"93,604"
13069,"11,140"
13071,"11,982"
13073,"13,098"
13075,"4,438"
13077,"16,804"
13079,"2,437"
13081,"7,327"
13083,"2,519"
13085,"2,671"
13087,"7,244"
13089,"144,818"
13091,"4,952"
13093,"3,731"
13095,"28,119"
13097,"19,423"
13099,"3,089"
13101,"1,078"
13103,"6,031"
13105,"4,101"
13107,"7,134"
13109,"2,792"
13111,"4,612"
13113,"7,479"
13115,"19,408"
13117,"12,863"
13119,"5,227"
13121,"168,027"
13123,"5,623"
13125,"574"
13127,"15,666"
13129,"9,800"
13131,"6,583"
13133,"3,984"
13135,"116,888"
13137,"6,320"
13139,"31,582"
13141,"2,585"
13143,"5,300"
13145,"3,071"
13147,"5,284"
13149,"2,174"
13151,"29,088"
13153,"25,310"
13155,"2,133"
13157,"8,283"
13159,"2,424"
13161,"3,635"
13163,"4,154"
13165,"2,727"
13167,"2,418"
13169,"4,119"
13171,"3,605"
13173,"2,417"
13175,"11,903"
