"","state_fips","county_fips","STNAME","CTYNAME","land_area","hail_tot_intensity","tornado_tot_intensity","wind_tot_intensity","highfirerisk"
"62",1,123,"Alabama","Tallapoosa County",0.1912196286045,104.67,19,5599,0.0463160214500845
"63",1,125,"Alabama","Tuscaloosa County",0.338844532030999,246.06,71,11970,0.00587181943114147
"64",1,127,"Alabama","Walker County",0.203022727596001,179.72,54,9243,0.107333962858042
"65",1,129,"Alabama","Washington County",0.267440581264637,79.52,25,4079,0.357803856692344
"66",1,131,"Alabama","Wilcox County",0.224253768752,30.4,9,1684,0.000186127311080779
"67",1,133,"Alabama","Winston County",0.1600417410355,109.58,23,6494,0.00463148519260744
"97",4,1,"Arizona","Apache County",2.88327840776211,15.26,0,927,0.140911747955955
"98",4,3,"Arizona","Cochise County",1.53521991174081,78.52,3,5261,0.0728099753332277
"99",4,5,"Arizona","Coconino County",4.82165794084671,127.68,18,1615,0.21900132127494
"100",4,7,"Arizona","Gila County",1.209315231781,61.16,2,2796,0.776993321361081
"104",4,13,"Arizona","Maricopa County",2.3141280981685,114.94,39,33443,0.143667515981875
"105",4,15,"Arizona","Mohave County",3.47248301197956,59.67,8,6007,0.22825834697577
"106",4,17,"Arizona","Navajo County",2.5597337432027,41.14,1,965,0.117630766795916
"107",4,19,"Arizona","Pima County",2.27355336938466,123.89,13,23950,0.0864405170010508
"108",4,21,"Arizona","Pinal County",1.3416979597985,42.64,14,10678,0.231914871332964
"109",4,23,"Arizona","Santa Cruz County",0.30456055973395,28.76,0,2213,0.13374406074522
"110",4,25,"Arizona","Yavapai County",2.0689154868925,146.05,-1,3707,0.239841945415067
"111",4,27,"Arizona","Yuma County",1.37574499464986,16.26,6,5988,0.00493203784459235
"112",5,1,"Arkansas","Arkansas County",0.262150642729001,138.3,40,5523,0
"113",5,3,"Arkansas","Ashley County",0.235536493217484,139.16,38,5319,0
"114",5,5,"Arkansas","Baxter County",0.152458547925734,195.37,14,8894,0
"115",5,7,"Arkansas","Benton County",0.229838395704062,288.79,41,11698,0
"116",5,9,"Arkansas","Boone County",0.156461869582585,171.69,14,5279,0
"117",5,11,"Arkansas","Bradley County",0.164009912708499,92.93,20,3891,4.30941607412196e-05
"118",5,13,"Arkansas","Calhoun County",0.1590369709605,74.03,15,3589,8.89956837093401e-05
