"","state_fips","county_fips","CensusRace...STNAME","CensusRace...CTYNAME","land_area","CensusRace...TOT_POP","CensusRace...H","poverty_pct_2014...PCTPOVALL_2014","hail...total_intensity","tornado...total_intensity","wind...total_intensity","natural_amenities...Scale","highfirerisk","PercUnempl","PercMino"
"36",1,71,"Alabama","Jackson County",0.287465416261847,52665,1509,22,114.72,43,9051,1.25,0.00629292046447746,0.00620905724864711,0.0845722965916643
"37",1,73,"Alabama","Jefferson County",0.2825943612835,660793,24828,19.5,489.39,112,18213,0.51,0.0321506372536745,0.00096550659586285,0.460131992923654
"38",1,75,"Alabama","Lamar County",0.152716366317545,14086,204,20.6,122.55,37,8046,-0.85,9.29281665272744e-05,0.088385631123101,0.12927729660656
"39",1,77,"Alabama","Lauderdale County",0.183854080366732,93096,2253,18.7,194.14,39,16849,0.9,0.0382329945269742,0.0110531064707399,0.132938042450803
"40",1,79,"Alabama","Lawrence County",0.182312588597501,33477,726,16.6,163.87,31,8603,0.54,0.000196278558530266,0.0026585416853362,0.219255010903008
"41",1,81,"Alabama","Lee County",0.153212382131663,154255,6089,25.2,106.31,19,4086,-0.24,0.0043418647166362,0.00728015299341999,0.290590256393634
"42",1,83,"Alabama","Limestone County",0.154939563813103,90787,5261,13.6,175.35,44,10926,-0.42,0,0.00818399110004736,0.180290129644112
"43",1,85,"Alabama","Lowndes County",0.1795258692375,10580,130,31.4,54.41,23,2337,-0.41,0.000349433141792204,0.142533081285444,0.742155009451796
"44",1,87,"Alabama","Macon County",0.152223960603001,19425,287,32.1,65.65,11,2215,-0.56,0.0209308730377307,0.0938481338481339,0.833410553410553
"45",1,89,"Alabama","Madison County",0.207255970127623,350299,16472,14.2,364.69,53,20414,-1.25,3.46356331393738e-05,0.0012446509981473,0.30620127376898
"46",1,91,"Alabama","Marengo County",0.243526798849001,20110,483,25.6,76.78,26,2927,-0.72,0.000229239497965499,0.0823968175037295,0.525609149676778
"47",1,93,"Alabama","Marion County",0.188206250739403,30271,742,20.2,137.7,44,7167,-0.31,0.00726667171296647,0.067655511876053,0.0610815632123154
"48",1,95,"Alabama","Marshall County",0.158186496086501,94636,12254,22,167.64,61,11796,0.37,0.000406393931183961,0.00844287586119447,0.063200050720656
"49",1,97,"Alabama","Mobile County",0.309645966115919,415123,11520,19.6,224.57,68,9933,1.52,0.527152082732296,0.00128636572774816,0.398980543116137
"50",1,99,"Alabama","Monroe County",0.254588972918001,21947,259,25.3,67.91,31,4081,1.27,0.0514661879114303,0.0880302547045154,0.444981090809678
"51",1,101,"Alabama","Montgomery County",0.198178399398999,226189,7752,22.5,127.06,32,6197,-0.28,0.0015127528583993,0.00774573476163739,0.610697248760992
"52",1,103,"Alabama","Morgan County",0.152206962042001,119607,9496,15,190.25,37,11137,1.09,9.3984962406015e-05,0.0091633432825838,0.164530504067488
"53",1,105,"Alabama","Perry County",0.180197225999498,9826,131,46.9,54.27,24,2016,0.84,0.000855066267635742,0.139018929371056,0.688784856503155
"54",1,107,"Alabama","Pickens County",0.222998166826985,20365,843,25,74.92,55,3866,0.13,0.000126614332742466,0.081365087159342,0.419297814878468
"55",1,109,"Alabama","Pike County",0.1660132550125,33389,737,26.4,47.51,38,2070,-0.93,0,0.00146754919284794,0.414807271856
"56",1,111,"Alabama","Randolph County",0.146417191706845,22539,659,20.4,94.17,11,4636,0.71,0.102640709329221,0.0741381605217623,0.224366653356404
"57",1,113,"Alabama","Russell County",0.160498601930339,59608,3007,20.9,91.06,34,2895,-0.24,0.0143888019474874,0.00513353912226547,0.469265870352973
"58",1,115,"Alabama","St. Clair County",0.1646602844135,86697,1997,14.3,96.47,41,7143,1.39,0.115232187473076,0.0081317692653725,0.120949975200987
"59",1,117,"Alabama","Shelby County",0.2028848925885,206655,12297,9.6,187.28,32,9622,1.12,0.179908167524697,0.00634390651085142,0.159836442379812
"60",1,119,"Alabama","Sumter County",0.227133562367,13166,140,38.1,93.31,24,3854,-0.48,9.24670200961657e-05,0.107245936503114,0.745480783837156
"61",1,121,"Alabama","Talladega County",0.190806811437,81322,1855,22.5,122.05,39,7378,1.34,0.271529063309885,0.00993581072772435,0.348208356902191
