"","state_fips","county_fips","STNAME","CTYNAME","YEAR","TOT_POP","WA","BA","IA","AA","Na","NH","H"
"4.32111",6,111,"California","Ventura County",4,830973,708742,18142,15379,60103,2261,491397,339576
"4.32244",6,113,"California","Yolo County",4,202303,154630,5830,3705,27503,1225,140151,62152
"4.32377",6,115,"California","Yuba County",4,72600,57976,2702,2167,5187,337,53893,18707
"4.32510",8,1,"Colorado","Adams County",4,452202,396289,15601,9583,17496,993,279311,172891
"4.32643",8,3,"Colorado","Alamosa County",4,16107,14275,261,836,241,36,8697,7410
"4.32776",8,5,"Colorado","Arapahoe County",4,585845,464046,62229,6425,31188,1379,477417,108428
"4.32909",8,7,"Colorado","Archuleta County",4,12022,11234,43,355,127,10,9824,2198
"4.33042",8,9,"Colorado","Baca County",4,3807,3649,26,54,7,0,3466,341
"4.33175",8,11,"Colorado","Bent County",4,6322,5480,484,197,69,5,4376,1946
"4.33308",8,13,"Colorado","Boulder County",4,300650,274655,3031,2562,12963,242,260095,40555
"4.33441",8,14,"Colorado","Broomfield County",4,57433,51239,713,456,3635,51,50915,6518
"4.33574",8,15,"Colorado","Chaffee County",4,18001,17095,294,233,122,16,16227,1774
"4.33707",8,17,"Colorado","Cheyenne County",4,1869,1813,9,17,12,1,1681,188
"4.33840",8,19,"Colorado","Clear Creek County",4,9077,8729,63,89,50,6,8590,487
"4.33973",8,21,"Colorado","Conejos County",4,8308,7747,52,300,41,12,3734,4574
"4.34106",8,23,"Colorado","Costilla County",4,3649,3279,51,189,40,11,1295,2354
"4.34239",8,25,"Colorado","Crowley County",4,5842,4929,567,185,66,0,4122,1720
"4.34372",8,27,"Colorado","Custer County",4,4224,4064,45,35,16,0,4013,211
"4.34505",8,29,"Colorado","Delta County",4,30377,29043,194,390,185,22,26061,4316
"4.34638",8,31,"Colorado","Denver County",4,619390,499580,65239,12671,22681,868,424522,194868
"4.34771",8,33,"Colorado","Dolores County",4,2029,1905,8,62,2,3,1940,89
"4.34904",8,35,"Colorado","Douglas County",4,292538,268995,3863,1368,11467,267,269749,22789
"4.35037",8,37,"Colorado","Eagle County",4,51755,49446,459,642,582,39,36212,15543
"4.35170",8,39,"Colorado","Elbert County",4,23280,22316,179,157,198,36,21987,1293
"4.35303",8,41,"Colorado","El Paso County",4,636944,537341,42430,8200,18245,2575,538670,98274
"4.35436",8,43,"Colorado","Fremont County",4,47431,43479,1950,904,315,30,41356,6075
"4.35569",8,45,"Colorado","Garfield County",4,56003,52935,613,990,436,77,40218,15785
"4.35702",8,47,"Colorado","Gilpin County",4,5447,5177,33,51,82,12,5159,288
"4.35835",8,49,"Colorado","Grand County",4,14557,13988,71,95,135,15,13478,1079
"4.35968",8,51,"Colorado","Gunnison County",4,15451,14642,70,367,107,3,14149,1302
"4.36101",8,53,"Colorado","Hinsdale County",4,831,801,3,8,5,0,798,33
"4.36234",8,55,"Colorado","Huerfano County",4,6519,5913,43,338,54,14,4217,2302
"4.36367",8,57,"Colorado","Jackson County",4,1381,1337,2,22,2,0,1232,149
"4.36500",8,59,"Colorado","Jefferson County",4,539540,499277,6596,6364,14848,644,460451,79089
"4.36633",8,61,"Colorado","Kiowa County",4,1456,1426,4,7,0,0,1372,84
"4.36766",8,63,"Colorado","Kit Carson County",4,8192,7767,191,74,41,14,6635,1557
"4.36899",8,65,"Colorado","Lake County",4,7373,6976,41,166,39,4,4489,2884
"4.37032",8,67,"Colorado","La Plata County",4,51770,46512,257,3401,334,37,45498,6272
"4.37165",8,69,"Colorado","Larimer County",4,305241,285835,2903,3056,6432,272,272693,32548
"4.37298",8,71,"Colorado","Las Animas County",4,15045,13823,239,528,129,15,8694,6351
"4.37431",8,73,"Colorado","Lincoln County",4,5438,4971,289,59,46,3,4740,698
"4.37564",8,75,"Colorado","Logan County",4,22687,20946,948,317,175,23,19124,3563
"4.37697",8,77,"Colorado","Mesa County",4,147380,139452,1194,2191,1265,196,127566,19814
"4.37830",8,79,"Colorado","Mineral County",4,712,697,2,4,2,0,689,23
"4.37963",8,81,"Colorado","Moffat County",4,13420,12882,50,169,80,12,11498,1922
"4.38096",8,83,"Colorado","Montezuma County",4,25444,21454,87,3188,159,19,22478,2966
"4.38229",8,85,"Colorado","Montrose County",4,40910,38799,240,748,306,61,32689,8221
"4.38362",8,87,"Colorado","Morgan County",4,28498,26527,911,403,175,80,18748,9750
"4.38495",8,89,"Colorado","Otero County",4,18889,17407,207,602,166,25,11224,7665
"4.38628",8,91,"Colorado","Ouray County",4,4449,4328,8,20,24,5,4216,233
"4.38761",8,93,"Colorado","Park County",4,16091,15371,78,171,123,3,15304,787
"4.38894",8,95,"Colorado","Phillips County",4,4371,4235,31,33,26,6,3541,830
"4.39027",8,97,"Colorado","Pitkin County",4,17127,16449,119,69,243,15,15562,1565
"4.39160",8,99,"Colorado","Prowers County",4,12505,12009,80,201,43,4,8048,4457
"4.39293",8,101,"Colorado","Pueblo County",4,160213,146058,3815,4759,1543,254,93302,66911
"4.39426",8,103,"Colorado","Rio Blanco County",4,6774,6431,64,90,30,12,6092,682
"4.39559",8,105,"Colorado","Rio Grande County",4,11924,11243,59,335,54,4,6757,5167
"4.39692",8,107,"Colorado","Routt County",4,23182,22435,115,130,157,17,21665,1517
"4.39825",8,109,"Colorado","Saguache County",4,6185,5786,35,176,55,1,3710,2475
"4.39958",8,111,"Colorado","San Juan County",4,697,671,0,2,7,0,596,101
"4.40091",8,113,"Colorado","San Miguel County",4,7488,7177,40,94,58,5,6808,680
"4.40224",8,115,"Colorado","Sedgwick County",4,2374,2295,9,17,26,0,2057,317
"4.40357",8,117,"Colorado","Summit County",4,27960,26809,262,204,280,24,23895,4065
"4.40490",8,119,"Colorado","Teller County",4,23334,22223,127,259,191,27,22010,1324
"4.40623",8,121,"Colorado","Washington County",4,4808,4682,33,10,18,5,4388,420
"4.40756",8,123,"Colorado","Weld County",4,258737,242354,3178,4272,3509,361,185185,73552
"4.40889",8,125,"Colorado","Yuma County",4,10156,9904,27,82,45,18,7984,2172
"4.41022",9,1,"Connecticut","Fairfield County",4,928722,750646,109664,4276,46552,980,766678,162044
"4.41155",9,3,"Connecticut","Hartford County",4,897142,699422,132245,4185,41440,1001,755439,141703
"4.41288",9,5,"Connecticut","Litchfield County",4,188898,179359,3039,481,3135,104,179970,8928
"4.41421",9,7,"Connecticut","Middlesex County",4,166195,149930,8353,309,4528,91,157784,8411
"4.41554",9,9,"Connecticut","New Haven County",4,864049,689632,118950,3993,32702,818,729679,134370
"4.41687",9,11,"Connecticut","New London County",4,274056,231884,17794,2902,12164,375,249587,24469
"4.41820",9,13,"Connecticut","Tolland County",4,153056,138887,5422,337,5677,116,145998,7058
"4.41953",9,15,"Connecticut","Windham County",4,118419,110339,3336,724,1505,92,106622,11797
"4.42086",10,1,"Delaware","Kent County",4,165214,114038,40947,1186,3562,148,155195,10019
"4.42219",10,3,"Delaware","New Castle County",4,542324,370310,132694,2193,25216,313,493834,48490
"4.42352",10,5,"Delaware","Sussex County",4,200291,165162,26165,2576,2183,264,182515,17776
"4.42485",11,1,"District of Columbia","District of Columbia",4,620427,263738,314077,3387,23073,840,560539,59888
"4.42618",12,1,"Florida","Alachua County",4,249712,177579,51250,851,13886,190,228236,21476
"4.42751",12,3,"Florida","Baker County",4,27064,22791,3618,100,155,5,26478,586
"4.42884",12,5,"Florida","Bay County",4,169700,141007,18781,1266,3566,187,161174,8526
"4.43017",12,7,"Florida","Bradford County",4,28476,21809,5971,106,155,14,27360,1116
"4.43150",12,9,"Florida","Brevard County",4,544431,459577,56869,2429,12168,661,498562,45869
"4.43283",12,11,"Florida","Broward County",4,1788367,1185316,498077,6482,62334,1704,1325369,462998
"4.43416",12,13,"Florida","Calhoun County",4,14763,12132,2015,175,100,20,13972,791
"4.43549",12,15,"Florida","Charlotte County",4,159613,145340,9346,463,2125,76,150105,9508
"4.43682",12,17,"Florida","Citrus County",4,139773,131061,4062,538,2120,53,133002,6771
"4.43815",12,19,"Florida","Clay County",4,192291,160197,19870,955,5802,282,176670,15621
"4.43948",12,21,"Florida","Collier County",4,327903,295778,22728,1650,3951,309,241675,86228
"4.44081",12,23,"Florida","Columbia County",4,67340,52939,12109,370,682,48,63949,3391
"4.44214",12,27,"Florida","DeSoto County",4,34636,29025,4575,374,242,61,24227,10409
"4.44347",12,29,"Florida","Dixie County",4,16354,14625,1375,68,60,2,15749,605
"4.44480",12,31,"Florida","Duval County",4,872294,545953,261352,3799,38321,955,803669,68625
"4.44613",12,33,"Florida","Escambia County",4,299642,209846,69239,2725,8630,503,284962,14680
"4.44746",12,35,"Florida","Flagler County",4,97295,81574,11379,310,2186,69,88501,8794
"4.44879",12,37,"Florida","Franklin County",4,11518,9615,1585,80,46,8,10981,537
"4.45012",12,39,"Florida","Gadsden County",4,47387,19903,26403,230,294,48,42673,4714
"4.45145",12,41,"Florida","Gilchrist County",4,16979,15660,935,100,71,12,16151,828
"4.45278",12,43,"Florida","Glades County",4,13150,10572,1688,685,79,4,10344,2806
"4.45411",12,45,"Florida","Gulf County",4,15670,12363,2914,69,54,4,14966,704
"4.45544",12,47,"Florida","Hamilton County",4,14594,9197,4966,123,84,1,13265,1329
"4.45677",12,49,"Florida","Hardee County",4,27684,24632,2059,319,318,19,15816,11868
"4.45810",12,51,"Florida","Hendry County",4,38816,31650,5445,854,384,68,19627,19189
"4.45943",12,53,"Florida","Hernando County",4,172853,157655,9433,687,2111,122,154440,18413
"4.46076",12,55,"Florida","Highlands County",4,98360,84944,9792,538,1523,77,80916,17444
"4.46209",12,57,"Florida","Hillsborough County",4,1271720,962507,224318,6701,46928,1544,951729,319991
"4.46342",12,59,"Florida","Holmes County",4,19821,17938,1193,169,116,27,19293,528
"4.46475",12,61,"Florida","Indian River County",4,138973,121758,12941,574,1817,65,123076,15897
"4.46608",12,63,"Florida","Jackson County",4,49126,34472,13134,364,279,85,46936,2190
"4.46741",12,65,"Florida","Jefferson County",4,14496,9007,5183,47,64,5,13934,562
"4.46874",12,67,"Florida","Lafayette County",4,8808,7277,1362,53,15,2,7710,1098
"4.47007",12,69,"Florida","Lake County",4,299886,255587,30900,1866,6043,379,261765,38121
"4.47140",12,71,"Florida","Lee County",4,631412,552905,55953,3261,9491,753,513504,117908
"4.47273",12,73,"Florida","Leon County",4,278320,177165,86002,866,8557,176,262321,15999
"4.47406",12,75,"Florida","Levy County",4,40267,35174,3898,229,281,29,37169,3098
"4.47539",12,77,"Florida","Liberty County",4,8233,6479,1503,103,25,7,7702,531
"4.47672",12,79,"Florida","Madison County",4,19105,11253,7434,116,59,1,18172,933
"4.47805",12,81,"Florida","Manatee County",4,327458,284276,30403,1684,5799,313,277993,49465
"4.47938",12,83,"Florida","Marion County",4,332507,277639,42823,1593,4863,251,295086,37421
"4.48071",12,85,"Florida","Martin County",4,147595,134048,8273,1502,1755,239,129272,18323
"4.48204",12,86,"Florida","Miami-Dade County",4,2579916,1999385,500963,7170,41531,1186,911185,1668731
"4.48337",12,87,"Florida","Monroe County",4,74151,67097,4571,316,907,80,58343,15808
"4.48470",12,89,"Florida","Nassau County",4,74159,67238,4817,338,682,58,71574,2585
"4.48603",12,91,"Florida","Okaloosa County",4,183314,151621,17634,1211,5682,432,170139,13175
"4.48736",12,93,"Florida","Okeechobee County",4,39441,34680,3322,524,378,43,29781,9660
"4.48869",12,95,"Florida","Orange County",4,1170411,816530,255917,6289,62154,2267,847066,323345
"4.49002",12,97,"Florida","Osceola County",4,278755,225106,35583,2144,8406,671,147918,130837
"4.49135",12,99,"Florida","Palm Beach County",4,1338609,1032057,242420,8366,34033,1385,1076842,261767
"4.49268",12,101,"Florida","Pasco County",4,466552,421994,23096,1993,10576,426,409535,57017
"4.49401",12,103,"Florida","Pinellas County",4,917979,768897,98623,3450,29000,1050,841763,76216
"4.49534",12,105,"Florida","Polk County",4,609696,489739,93731,3702,10798,650,498944,110752
"4.49667",12,107,"Florida","Putnam County",4,73928,59504,12301,432,482,77,67042,6886
"4.49800",12,109,"Florida","St. Johns County",4,196025,176598,11082,606,4398,183,185223,10802
"4.49933",12,111,"Florida","St. Lucie County",4,280779,213132,55585,1606,4825,265,233415,47364
"4.50066",12,113,"Florida","Santa Rosa County",4,155697,136771,9832,1386,3053,240,148519,7178
"4.50199",12,115,"Florida","Sarasota County",4,381513,350919,18786,1183,5400,195,350204,31309
"4.50332",12,117,"Florida","Seminole County",4,427036,348374,50178,1673,16782,451,350937,76099
"4.50465",12,119,"Florida","Sumter County",4,98598,87310,9217,419,719,56,92728,5870
"4.50598",12,121,"Florida","Suwannee County",4,43385,36568,5643,312,272,27,39573,3812
"4.50731",12,123,"Florida","Taylor County",4,22678,17276,4674,195,166,9,21852,826
"4.50864",12,125,"Florida","Union County",4,15239,11523,3407,64,44,2,14469,770
"4.50997",12,127,"Florida","Volusia County",4,494458,421111,53835,2150,8256,331,437822,56636
"4.51130",12,129,"Florida","Wakulla County",4,30953,25482,4543,212,160,26,29905,1048
"4.51263",12,131,"Florida","Walton County",4,55640,49975,3293,505,537,99,52640,3000
"4.51396",12,133,"Florida","Washington County",4,24596,19926,3661,331,151,22,23814,782
"4.51529",13,1,"Georgia","Appling County",4,18458,14401,3618,82,151,36,16695,1763
"4.51662",13,3,"Georgia","Atkinson County",4,8364,6522,1461,106,57,78,6324,2040
"4.51795",13,5,"Georgia","Bacon County",4,11191,9168,1781,38,52,15,10356,835
"4.51928",13,7,"Georgia","Baker County",4,3323,1717,1531,11,36,2,3164,159
"4.52061",13,9,"Georgia","Baldwin County",4,45081,25280,18448,131,700,25,44164,917
"4.52194",13,11,"Georgia","Banks County",4,18330,17342,485,99,188,21,17233,1097
"4.52327",13,13,"Georgia","Barrow County",4,69846,57521,8084,316,2474,52,63500,6346
"4.52460",13,15,"Georgia","Bartow County",4,100242,86510,10506,569,817,90,92512,7730
"4.52593",13,17,"Georgia","Ben Hill County",4,17599,10983,6165,99,139,8,16550,1049
"4.52726",13,19,"Georgia","Berrien County",4,19342,16779,2167,66,105,5,18400,942
"4.52859",13,21,"Georgia","Bibb County",4,155850,68143,82417,415,2745,185,151156,4694
"4.52992",13,23,"Georgia","Bleckley County",4,13059,9308,3480,18,121,3,12738,321
"4.53125",13,25,"Georgia","Brantley County",4,18581,17607,592,78,43,2,18188,393
"4.53258",13,27,"Georgia","Brooks County",4,15968,10058,5591,56,69,17,15156,812
"4.53391",13,29,"Georgia","Bryan County",4,31238,25144,4627,110,532,43,29603,1635
"4.53524",13,31,"Georgia","Bulloch County",4,72842,49000,21326,271,1052,74,70269,2573
"4.53657",13,33,"Georgia","Burke County",4,23559,11418,11680,60,84,21,22908,651
"4.53790",13,35,"Georgia","Butts County",4,23562,16625,6472,67,116,4,22917,645
"4.53923",13,37,"Georgia","Calhoun County",4,6549,2389,4022,23,36,19,6273,276
"4.54056",13,39,"Georgia","Camden County",4,50332,37962,9826,272,800,86,47607,2725
"4.54189",13,43,"Georgia","Candler County",4,11304,8191,2897,13,81,15,10060,1244
"4.54322",13,45,"Georgia","Carroll County",4,110722,86608,20294,547,1001,77,103732,6990
"4.54455",13,47,"Georgia","Catoosa County",4,64839,61073,1596,247,866,56,63249,1590
"4.54588",13,49,"Georgia","Charlton County",4,13410,8782,4285,59,80,3,12945,465
"4.54721",13,51,"Georgia","Chatham County",4,272002,148990,109540,900,6944,370,256367,15635
"4.54854",13,53,"Georgia","Chattahoochee County",4,11293,8101,2257,113,300,89,9719,1574
"4.54987",13,55,"Georgia","Chattooga County",4,25705,22125,2914,89,123,72,24599,1106
"4.55120",13,57,"Georgia","Cherokee County",4,217770,195552,13162,1138,3849,216,196445,21325
"4.55253",13,59,"Georgia","Clarke County",4,118509,78546,32008,424,5192,147,106084,12425
"4.55386",13,61,"Georgia","Clay County",4,3150,1214,1891,9,11,1,3123,27
"4.55519",13,63,"Georgia","Clayton County",4,262643,64739,176955,1777,13582,295,227292,35351
"4.55652",13,65,"Georgia","Clinch County",4,6750,4726,1864,53,14,4,6509,241
"4.55785",13,67,"Georgia","Cobb County",4,697682,463884,181275,3507,33241,510,611094,86588
"4.55918",13,69,"Georgia","Coffee County",4,42964,30038,11905,157,371,26,38488,4476
"4.56051",13,71,"Georgia","Colquitt County",4,45804,33881,10434,593,334,66,37747,8057
"4.56184",13,73,"Georgia","Columbia County",4,128753,99563,20062,488,5088,247,121816,6937
"4.56317",13,75,"Georgia","Cook County",4,16979,12009,4595,59,125,10,15997,982
"4.56450",13,77,"Georgia","Coweta County",4,129480,101460,22847,541,2158,118,120693,8787
"4.56583",13,79,"Georgia","Crawford County",4,12605,9529,2792,65,41,9,12276,329
"4.56716",13,81,"Georgia","Crisp County",4,23785,12792,10500,46,192,13,23004,781
"4.56849",13,83,"Georgia","Dade County",4,16591,15977,192,82,139,11,16266,325
"4.56982",13,85,"Georgia","Dawson County",4,22214,21501,158,88,145,14,21354,860
"4.57115",13,87,"Georgia","Decatur County",4,27663,15469,11528,201,166,34,26201,1462
"4.57248",13,89,"Georgia","DeKalb County",4,697953,258968,383107,3927,38288,567,631933,66020
"4.57381",13,91,"Georgia","Dodge County",4,21462,14624,6421,84,111,31,20709,753
"4.57514",13,93,"Georgia","Dooly County",4,14548,7152,7155,27,99,10,13608,940
"4.57647",13,95,"Georgia","Dougherty County",4,94839,28334,64205,249,802,178,92634,2205
"4.57780",13,97,"Georgia","Douglas County",4,133280,73265,54440,523,2158,204,121871,11409
"4.57913",13,99,"Georgia","Early County",4,10742,5279,5308,44,39,2,10558,184
"4.58046",13,101,"Georgia","Echols County",4,4096,3708,188,119,15,7,2940,1156
"4.58179",13,103,"Georgia","Effingham County",4,52673,43905,7171,173,465,54,51073,1600
"4.58312",13,105,"Georgia","Elbert County",4,19823,13574,5869,53,145,9,18819,1004
"4.58445",13,107,"Georgia","Emanuel County",4,22581,14478,7633,88,168,8,21591,990
"4.58578",13,109,"Georgia","Evans County",4,10965,7286,3385,48,103,33,9603,1362
"4.58711",13,111,"Georgia","Fannin County",4,23505,22939,118,82,88,7,23066,439
"4.58844",13,113,"Georgia","Fayette County",4,107211,77904,22346,439,4382,96,100098,7113
"4.58977",13,115,"Georgia","Floyd County",4,96182,78197,14093,736,1312,249,86929,9253
"4.59110",13,117,"Georgia","Forsyth County",4,182392,160864,5405,914,12594,123,164955,17437
"4.59243",13,119,"Georgia","Franklin County",4,21957,19499,1894,62,142,9,21064,893
"4.59376",13,121,"Georgia","Fulton County",4,950359,447207,425304,3232,56509,452,876387,73972
"4.59509",13,123,"Georgia","Gilmer County",4,28280,27372,188,173,99,149,25415,2865
"4.59642",13,125,"Georgia","Glascock County",4,3108,2803,259,7,3,0,3064,44
"4.59775",13,127,"Georgia","Glynn County",4,80216,56104,21205,391,1054,148,75036,5180
"4.59908",13,129,"Georgia","Gordon County",4,55508,51329,2273,321,603,223,47545,7963
"4.60041",13,131,"Georgia","Grady County",4,25165,17076,7267,296,149,58,22598,2567
"4.60174",13,133,"Georgia","Greene County",4,16051,9724,6025,66,58,17,15068,983
"4.60307",13,135,"Georgia","Gwinnett County",4,824981,498793,208353,7337,90799,840,657692,167289
"4.60440",13,137,"Georgia","Habersham County",4,43106,39340,1559,431,1058,124,37519,5587
"4.60573",13,139,"Georgia","Hall County",4,182954,160498,14343,1708,3520,374,134471,48483
"4.60706",13,141,"Georgia","Hancock County",4,9368,2326,6898,34,49,1,9221,147
"4.60839",13,143,"Georgia","Haralson County",4,28515,26561,1347,82,145,4,28156,359
"4.60972",13,145,"Georgia","Harris County",4,32366,25881,5591,120,306,24,31389,977
"4.61105",13,147,"Georgia","Hart County",4,25435,20072,4736,44,238,3,24572,863
"4.61238",13,149,"Georgia","Heard County",4,11711,10201,1196,53,61,3,11456,255
"4.61371",13,151,"Georgia","Henry County",4,207071,116104,79237,700,6549,178,194615,12456
"4.61504",13,153,"Georgia","Houston County",4,144161,93831,41980,595,3831,283,135107,9054
"4.61637",13,155,"Georgia","Irwin County",4,9692,6945,2585,4,72,0,9420,272
"4.61770",13,157,"Georgia","Jackson County",4,60551,54166,4182,188,1091,31,56636,3915
"4.61903",13,159,"Georgia","Jasper County",4,13778,10437,3032,70,42,1,13232,546
"4.62036",13,161,"Georgia","Jeff Davis County",4,15088,12495,2276,89,80,7,13471,1617
"4.62169",13,163,"Georgia","Jefferson County",4,16816,7505,9062,21,95,12,16278,538
"4.62302",13,165,"Georgia","Jenkins County",4,8122,4634,3287,39,51,20,7773,349
"4.62435",13,167,"Georgia","Johnson County",4,9918,6351,3436,21,23,3,9722,196
"4.62568",13,169,"Georgia","Jones County",4,28910,21234,7115,72,203,5,28564,346
"4.62701",13,171,"Georgia","Lamar County",4,18178,12048,5690,54,92,3,17814,364
"4.62834",13,173,"Georgia","Lanier County",4,10468,7563,2477,84,116,3,9930,538
"4.62967",13,175,"Georgia","Laurens County",4,48003,29631,17222,128,522,7,46845,1158
"4.63100",13,177,"Georgia","Lee County",4,28614,21901,5584,85,679,23,28008,606
"4.63233",13,179,"Georgia","Liberty County",4,65115,32978,27171,467,1377,422,58107,7008
"4.63366",13,181,"Georgia","Lincoln County",4,7898,5229,2530,25,37,1,7785,113
"4.63499",13,183,"Georgia","Long County",4,15243,10504,3860,128,147,62,13393,1850
"4.63632",13,185,"Georgia","Lowndes County",4,111882,66303,41008,547,1768,171,106157,5725
"4.63765",13,187,"Georgia","Lumpkin County",4,30482,29141,428,191,157,42,29124,1358
"4.63898",13,189,"Georgia","McDuffie County",4,21621,12433,8718,77,83,18,21120,501
"4.64031",13,191,"Georgia","McIntosh County",4,14237,8828,5112,75,55,11,13991,246
"4.64164",13,193,"Georgia","Macon County",4,14479,5335,8745,53,205,20,13929,550
"4.64297",13,195,"Georgia","Madison County",4,28110,24998,2458,90,220,5,26889,1221
"4.64430",13,197,"Georgia","Marion County",4,8737,5478,2934,65,79,57,8176,561
"4.64563",13,199,"Georgia","Meriwether County",4,21606,12710,8437,88,145,5,21240,366
"4.64696",13,201,"Georgia","Miller County",4,6074,4225,1738,17,30,0,5965,109
"4.64829",13,205,"Georgia","Mitchell County",4,23445,11733,11241,113,137,12,22419,1026
"4.64962",13,207,"Georgia","Monroe County",4,26673,19881,6180,93,241,5,26098,575
"4.65095",13,209,"Georgia","Montgomery County",4,9039,6487,2431,6,25,1,8530,509
"4.65228",13,211,"Georgia","Morgan County",4,17906,13308,4154,107,119,2,17396,510
"4.65361",13,213,"Georgia","Murray County",4,39428,37949,411,367,155,91,34068,5360
"4.65494",13,215,"Georgia","Muscogee County",4,195272,94085,90124,937,4454,500,181938,13334
"4.65627",13,217,"Georgia","Newton County",4,100464,55422,41808,340,1034,51,95781,4683
"4.65760",13,219,"Georgia","Oconee County",4,33255,29925,1724,86,1117,16,31717,1538
"4.65893",13,221,"Georgia","Oglethorpe County",4,14784,11826,2580,41,79,7,14201,583
"4.66026",13,223,"Georgia","Paulding County",4,143829,113824,25177,512,1427,82,136299,7530
"4.66159",13,225,"Georgia","Peach County",4,27577,14040,12726,118,246,15,25692,1885
"4.66292",13,227,"Georgia","Pickens County",4,29468,28500,388,115,140,8,28603,865
"4.66425",13,229,"Georgia","Pierce County",4,18723,16629,1641,138,93,10,17794,929
"4.66558",13,231,"Georgia","Pike County",4,17802,15580,1849,57,74,1,17583,219
"4.66691",13,233,"Georgia","Polk County",4,41283,34644,5327,301,333,80,36184,5099
"4.66824",13,235,"Georgia","Pulaski County",4,11851,7788,3780,46,125,9,11378,473
"4.66957",13,237,"Georgia","Putnam County",4,21261,15172,5659,84,121,49,19887,1374
"4.67090",13,239,"Georgia","Quitman County",4,2459,1226,1211,6,3,0,2423,36
"4.67223",13,241,"Georgia","Rabun County",4,16279,15583,212,73,140,8,14958,1321
"4.67356",13,243,"Georgia","Randolph County",4,7579,2854,4633,7,32,5,7439,140
"4.67489",13,245,"Georgia","Richmond County",4,200595,80947,110133,780,3506,476,191908,8687
"4.67622",13,247,"Georgia","Rockdale County",4,85601,41008,40935,435,1602,83,77154,8447
"4.67755",13,249,"Georgia","Schley County",4,5025,3816,1123,4,43,0,4840,185
"4.67888",13,251,"Georgia","Screven County",4,14393,7978,6136,52,65,3,14196,197
"4.68021",13,253,"Georgia","Seminole County",4,8782,5729,2893,13,49,0,8528,254
"4.68154",13,255,"Georgia","Spalding County",4,64118,40983,21250,273,574,46,61533,2585
"4.68287",13,257,"Georgia","Stephens County",4,25751,22107,2874,98,193,19,25082,669
"4.68420",13,259,"Georgia","Stewart County",4,6070,2831,3059,30,61,1,4484,1586
"4.68553",13,261,"Georgia","Sumter County",4,32095,14361,16767,168,427,57,30421,1674
"4.68686",13,263,"Georgia","Talbot County",4,6760,2694,3960,27,9,1,6647,113
"4.68819",13,265,"Georgia","Taliaferro County",4,1715,653,1021,3,12,0,1670,45
"4.68952",13,267,"Georgia","Tattnall County",4,25281,17245,7473,156,114,33,22654,2627
"4.69085",13,269,"Georgia","Taylor County",4,8478,5125,3228,7,54,1,8303,175
"4.69218",13,271,"Georgia","Telfair County",4,16317,10037,5944,47,113,7,14251,2066
"4.69351",13,273,"Georgia","Terrell County",4,9398,3544,5669,46,32,14,9206,192
"4.69484",13,275,"Georgia","Thomas County",4,44588,27025,16474,215,361,19,43224,1364
"4.69617",13,277,"Georgia","Tift County",4,41380,27211,12926,166,595,22,37097,4283
"4.69750",13,279,"Georgia","Toombs County",4,27240,19582,6917,191,206,27,24135,3105
"4.69883",13,281,"Georgia","Towns County",4,10477,10264,63,32,56,4,10246,231
"4.70016",13,283,"Georgia","Treutlen County",4,6821,4507,2225,15,16,0,6685,136
"4.70149",13,285,"Georgia","Troup County",4,67773,42319,23031,237,1173,101,65454,2319
"4.70282",13,287,"Georgia","Turner County",4,8847,5038,3657,36,52,5,8505,342
"4.70415",13,289,"Georgia","Twiggs County",4,8813,5009,3635,34,17,1,8670,143
"4.70548",13,291,"Georgia","Union County",4,21369,20759,152,85,101,4,20833,536
"4.70681",13,293,"Georgia","Upson County",4,26943,18830,7549,106,149,12,26309,634
"4.70814",13,295,"Georgia","Walker County",4,68618,64109,2980,208,323,39,67468,1150
"4.70947",13,297,"Georgia","Walton County",4,84441,68249,13564,311,1041,77,81469,2972
"4.71080",13,299,"Georgia","Ware County",4,36177,24464,10696,140,318,28,34928,1249
"4.71213",13,301,"Georgia","Warren County",4,5701,2141,3487,12,22,0,5650,51
"4.71346",13,303,"Georgia","Washington County",4,21015,9623,11071,29,117,3,20584,431
"4.71479",13,305,"Georgia","Wayne County",4,30355,23358,6117,162,167,22,28567,1788
"4.71612",13,307,"Georgia","Webster County",4,2797,1590,1162,5,9,0,2689,108
"4.71745",13,309,"Georgia","Wheeler County",4,8059,4915,3053,9,16,4,7675,384
"4.71878",13,311,"Georgia","White County",4,27403,26221,525,142,139,10,26710,693
"4.72011",13,313,"Georgia","Whitfield County",4,103076,94282,4178,1372,1540,192,69779,33297
"4.72144",13,315,"Georgia","Wilcox County",4,9165,5737,3268,21,52,2,8814,351
"4.72277",13,317,"Georgia","Wilkes County",4,10194,5637,4326,21,67,1,9829,365
"4.72410",13,319,"Georgia","Wilkinson County",4,9457,5650,3607,40,35,2,9227,230
"4.72543",13,321,"Georgia","Worth County",4,21617,15015,6236,64,110,11,21185,432
"4.72676",15,1,"Hawaii","Hawaii County",4,187039,64450,1289,1099,42013,23548,164977,22062
"4.72809",15,3,"Hawaii","Honolulu County",4,966559,213222,24137,3243,422144,93177,883427,83132
"4.72942",15,5,"Hawaii","Kalawao County",4,90,25,0,0,8,43,89,1
"4.73075",15,7,"Hawaii","Kauai County",4,67799,22675,330,349,21498,6313,61091,6708
"4.73208",15,9,"Hawaii","Maui County",4,156764,56113,1057,850,45700,16801,140459,16305
