"","state_fips","county_fips","STNAME","CTYNAME","YEAR","TOT_POP","WA","BA","IA","AA","Na","NH","H"
"3.8152",1,123,"Alabama","Tallapoosa County",3,41490,29578,11136,137,211,15,40440,1050
"3.8285",1,125,"Alabama","Tuscaloosa County",3,195056,131877,58031,645,2480,145,189004,6052
"3.8418",1,127,"Alabama","Walker County",3,66991,61691,3941,285,218,64,65683,1308
"3.8551",1,129,"Alabama","Washington County",3,17601,11573,4383,1424,17,14,17443,158
"3.8684",1,131,"Alabama","Wilcox County",3,11579,3119,8391,15,4,2,11505,74
"3.8817",1,133,"Alabama","Winston County",3,24409,23685,118,197,67,49,23767,642
"3.8950",2,13,"Alaska","Aleutians East Borough",3,3178,763,234,866,1182,19,2791,387
"3.9083",2,16,"Alaska","Aleutians West Census Area",3,5551,2295,355,861,1672,109,4819,732
"3.9216",2,20,"Alaska","Anchorage Municipality",3,293337,199299,17210,24007,24334,6131,270999,22338
"3.9349",2,50,"Alaska","Bethel Census Area",3,17068,1937,71,14152,170,33,16863,205
"3.9482",2,60,"Alaska","Bristol Bay Borough",3,1002,491,0,334,8,3,977,25
"3.9615",2,68,"Alaska","Denali Borough",3,1832,1654,10,66,23,1,1788,44
"3.9748",2,70,"Alaska","Dillingham Census Area",3,4869,888,11,3499,36,6,4763,106
"3.9881",2,90,"Alaska","Fairbanks North Star Borough",3,98174,76995,4668,7047,2708,429,92325,5849
"3.10014",2,100,"Alaska","Haines Borough",3,2504,2100,10,240,14,0,2457,47
"3.10147",2,105,"Alaska","Hoonah-Angoon Census Area",3,2149,1014,8,889,12,1,2069,80
"3.10280",2,110,"Alaska","Juneau City and Borough",3,31386,22207,303,3783,1943,226,29773,1613
"3.10413",2,122,"Alaska","Kenai Peninsula Borough",3,55566,47336,314,4139,663,135,53889,1677
"3.10546",2,130,"Alaska","Ketchikan Gateway Borough",3,13536,9326,82,1947,951,26,12976,560
"3.10679",2,150,"Alaska","Kodiak Island Borough",3,13637,7922,105,1840,2697,93,12619,1018
"3.10812",2,164,"Alaska","Lake and Peninsula Borough",3,1638,392,9,1062,5,5,1591,47
"3.10945",2,170,"Alaska","Matanuska-Susitna Borough",3,89783,76918,916,5062,1134,236,86400,3383
"3.11078",2,180,"Alaska","Nome Census Area",3,9543,1604,28,7230,100,9,9422,121
